BOTTLE,20020814WHPOSA
#code : jjward hyd_to_exchange.pl 
#original files copied from HTML directory: Aug. 14, 2002
#original HYD file: i08shy.txt   Wed Aug 14 15:04:34 2002
#original SUM file: i08ssu.txt   Wed Jun 16 11:13:01 1999
EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,LCAT,LCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,TRITUM,TRITUM_FLAG_W,HELIUM,HELIUM_FLAG_W,DELHE3,DELHE3_FLAG_W,DELC14,DELC14_FLAG_W,DELC13,DELC13_FLAG_W,NEON,NEON_FLAG_W,TCARBN,TCARBN_FLAG_W,PCO2,PCO2_FLAG_W,ALKALI,ALKALI_FLAG_W,CTDRAW,C14ERR,HELIER,DELHER,NEONER,THETA
,,,,,,,,,,,,DBAR,IPTS-68,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,TU,,UMOL/KG,,PERCNT,,/MILLE,,/MILLE,,NMOL/KG,,UMOL/KG,,UATM,,UMOL/KG,,,/MILLE,NMOL/KG,PERCNT,NMOL/KG,IPTS-68
     316N145_5,  I08S,     4,  1,     26, 011,2,19941205,0313,-30.3000,  94.9945, 1945,    406.9,  11.4592,  35.0285,1,-999.0000,9,    237.8,1,    237.8,2,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,    3.282,2,    1.586,2, -999.000,5,   1.7410,5,    -0.67,2,     84.2,2,      1.3,2,   7.338,4,   2102.8,2,   -999.0,5,   2311.8,2, 4097.4,     7.9,  0.0020,   0.120,   0.040, 11.4072
     316N145_5,  I08S,     4,  1,     25, 012,2,19941205,0313,-30.3000,  94.9945, 1945,    455.9,  11.0375,  34.9591,1,  34.9575,2,    239.1,1,    239.2,2,     3.05,2,    10.95,2,     0.00,2,     0.89,2,    3.272,6,    1.590,6, -999.000,5,-999.0000,5,  -999.00,9,     78.3,2,      1.3,2,-999.000,9,   2103.6,2,   -999.0,5,   2298.5,2, 4584.1,     5.2,-999.0000,-999.000,-999.000, 10.9805
     316N145_5,  I08S,     4,  1,     24, 013,2,19941205,0313,-30.3000,  94.9945, 1945,    506.0,  10.5797,  34.8842,1,  34.8825,2,    240.2,1,    240.4,2,     3.40,2,    12.14,2,     0.00,2,     0.96,2,    3.221,2,    1.550,2, -999.000,5,-999.0000,5,  -999.00,9,     -9.6,4,      1.2,3,-999.000,9,   2107.2,2,   -999.0,5,   2299.8,2, 5082.9,    12.8,-999.0000,-999.000,-999.000, 10.5180
     316N145_5,  I08S,     4,  1,     23, 014,2,19941205,0313,-30.3000,  94.9945, 1945,    605.9,   9.8037,  34.7627,1,  34.7585,2,    239.7,1,    237.8,2,     4.27,2,    14.44,2,     0.00,2,     1.11,2, -999.000,9, -999.000,9, -999.000,5,   1.8240,5,    -0.48,2,     45.8,2,      1.3,2,   7.665,2,   2112.3,2,   -999.0,5,   2294.5,2, 6076.1,     8.3,  0.0020,   0.120,   0.036,  9.7330
     316N145_5,  I08S,     4,  1,     22, 015,2,19941205,0313,-30.3000,  94.9945, 1945,    706.7,   9.0245,  34.6527,1,  34.6510,2,    229.9,1,    228.5,2,     6.18,2,    17.54,2,     0.00,2,     1.31,2,    2.474,2,    1.208,2, -999.000,5,   1.7910,5,     0.08,2,     49.2,2,      1.3,2,   7.615,2,   2123.6,2,   -999.0,5,   2285.9,2, 7078.0,     6.1,  0.0020,   0.120,   0.026,  8.9457
     316N145_5,  I08S,     4,  1,     21, 016,2,19941205,0313,-30.3000,  94.9945, 1945,    807.0,   7.6879,  34.5291,1,  34.5292,2,    213.4,1,    206.0,2,    13.22,2,    22.74,2,     0.00,2,     1.63,2,    1.331,2,    0.671,2, -999.000,5,   1.7830,5,     1.49,2,     34.3,2,      1.3,2,   7.613,2,   2149.4,2,   -999.0,5,   2296.7,2, 8075.8,     4.1,  0.0020,   0.120,   0.043,  7.6055
     316N145_5,  I08S,     4,  1,     20, 017,2,19941205,0313,-30.3000,  94.9945, 1945,    907.3,   6.2124,  34.4479,1,  34.4434,2,    197.7,1,    193.9,2,    23.86,2,    27.29,2,     0.00,2,     1.93,2,    0.738,2,    0.377,2, -999.000,5,-999.0000,5,  -999.00,9,    -66.3,2,      1.0,2,-999.000,9,   2175.1,2,   -999.0,5,   2297.9,2, 9073.2,     4.1,-999.0000,-999.000,-999.000,  6.1292
     316N145_5,  I08S,     4,  1,     19, 018,2,19941205,0313,-30.3000,  94.9945, 1945,   1008.4,   4.9587,  34.4055,1,  34.4055,2,    187.9,1,    186.2,2,    36.39,2,    30.28,2,     0.00,2,     2.15,2,    0.433,6,    0.218,6, -999.000,5,   1.8570,5,     4.03,2,   -107.9,2,      0.9,2,   7.941,2,   2198.0,2,   -999.0,5,   2309.4,2,10078.0,     4.6,  0.0020,   0.120,   0.046,  4.8751
     316N145_5,  I08S,     4,  1,     18, 002,2,19941205,0313,-30.3000,  94.9945, 1945,   1109.0,   4.3083,  34.4342,1,  34.4383,2,    173.2,1,    171.2,2,    50.45,2,    32.20,2,     0.00,2,     2.30,2,    0.200,6,    0.105,6, -999.000,5,   1.8260,5,     6.15,2,   -113.9,2,      0.7,2,   7.876,2,   2222.3,6,   -999.0,5,   2316.9,2,11078.4,     3.7,  0.0020,   0.120,   0.024,  4.2210
     316N145_5,  I08S,     4,  1,     17, 020,2,19941205,0313,-30.3000,  94.9945, 1945,   1210.4,   3.9723,  34.4938,1,  34.4948,2,    156.1,1,    153.7,2,    64.68,2,    33.72,2,     0.00,2,     2.42,2,    0.071,2,    0.040,2, -999.000,5,   1.9010,5,     7.20,2,   -134.4,2,      0.5,2,   8.050,2,   2244.8,2,   -999.0,5,   2340.6,2,12085.8,     4.2,  0.0020,   0.120,   0.034,  3.8792
