BOTTLE,20030319WHPSIOSA
#code : jjward hyd_to_exchange.pl 
#original files copied from HTML directory: March 19, 2003
#original HYD file: a08hy.txt   Wed Mar 19 10:27:03 2003
#original SUM file: a08su.txt   Fri Feb 12 12:52:56 1999
EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NO2+NO3,NO2+NO3_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,CFC113,CFC113_FLAG_W,CCL4,CCL4_FLAG_W,TRITUM,TRITUM_FLAG_W,HELIUM,HELIUM_FLAG_W,DELHE3,DELHE3_FLAG_W,NEON,TCARBN,TCARBN_FLAG_W,PCO2,PCO2_FLAG_W,CTDRAW,HELIER,DELHER,NEONER,NEONER_FLAG_W,THETA,TRITER
,,,,,,,,,,,,DBAR,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,PMOL/KG,,PMOL/KG,,TU,,NMOL/KG,,PERCNT,,NMOL/KG,UMOL/KG,,PPM@EQ,,,NMOL/KG,PERCNT,NMOL/KG,,ITS-90,TU
      06MT28_1,   A08,   165,  1,     50,    312,2,19940330,0328, -8.2740, -33.4628, 4600,   4004.8,   1.7927,  34.8294,2,  34.8287,2,   -999.0,9,  -999.00,9,  -999.00,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,-999.000,   -999.0,9,   -999.0,9,   4000,-999.0000,-999.000,-999.000,9,  1.4641,-999.000
      06MT28_1,   A08,   165,  1,     51,    313,2,19940330,0328, -8.2740, -33.4628, 4600,   4004.8,   1.7927,  34.8294,2,  34.8295,2,   -999.0,9,  -999.00,9,  -999.00,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,-999.000,   -999.0,9,   -999.0,9,   4000,-999.0000,-999.000,-999.000,9,  1.4641,-999.000
      06MT28_1,   A08,   165,  1,     52,    314,2,19940330,0328, -8.2740, -33.4628, 4600,   4004.8,   1.7927,  34.8294,2,  34.8291,2,   -999.0,9,  -999.00,9,  -999.00,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,-999.000,   -999.0,9,   -999.0,9,   4000,-999.0000,-999.000,-999.000,9,  1.4641,-999.000
      06MT28_1,   A08,   165,  1,     53,    315,2,19940330,0328, -8.2740, -33.4628, 4600,   4004.8,   1.7927,  34.8294,2,  34.8290,2,   -999.0,9,  -999.00,9,  -999.00,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,-999.000,   -999.0,9,   -999.0,9,   4000,-999.0000,-999.000,-999.000,9,  1.4641,-999.000
      06MT28_1,   A08,   165,  1,     54,    316,2,19940330,0328, -8.2740, -33.4628, 4600,   4004.8,   1.7927,  34.8294,2,  34.8293,2,   -999.0,9,  -999.00,9,  -999.00,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,-999.000,   -999.0,9,   -999.0,9,   4000,-999.0000,-999.000,-999.000,9,  1.4641,-999.000
      06MT28_1,   A08,   165,  1,     55,    317,2,19940330,0328, -8.2740, -33.4628, 4600,   4004.8,   1.7927,  34.8294,2,  34.8298,2,   -999.0,9,  -999.00,9,  -999.00,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,-999.000,   -999.0,9,   -999.0,9,   4000,-999.0000,-999.000,-999.000,9,  1.4641,-999.000
      06MT28_1,   A08,   165,  1,     56,    318,2,19940330,0328, -8.2740, -33.4628, 4600,   4004.8,   1.7927,  34.8294,2,  34.8287,2,   -999.0,9,  -999.00,9,  -999.00,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,-999.000,   -999.0,9,   -999.0,9,   4000,-999.0000,-999.000,-999.000,9,  1.4641,-999.000
      06MT28_1,   A08,   165,  1,     57,    319,2,19940330,0328, -8.2740, -33.4628, 4600,   4004.8,   1.7927,  34.8294,2,  34.8307,2,   -999.0,9,  -999.00,9,  -999.00,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,-999.000,   -999.0,9,   -999.0,9,   4000,-999.0000,-999.000,-999.000,9,  1.4641,-999.000
      06MT28_1,   A08,   165,  1,     58,    320,2,19940330,0328, -8.2740, -33.4628, 4600,   4004.8,   1.7927,  34.8294,2,  34.8238,2,   -999.0,9,  -999.00,9,  -999.00,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,-999.000,   -999.0,9,   -999.0,9,   4000,-999.0000,-999.000,-999.000,9,  1.4641,-999.000
      06MT28_1,   A08,   165,  1,     59,    321,2,19940330,0328, -8.2740, -33.4628, 4600,   4004.8,   1.7927,  34.8294,2,  34.8282,2,   -999.0,9,  -999.00,9,  -999.00,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,-999.000,   -999.0,9,   -999.0,9,   4000,-999.0000,-999.000,-999.000,9,  1.4641,-999.000
      06MT28_1,   A08,   165,  1,     60,    322,2,19940330,0328, -8.2740, -33.4628, 4600,   4004.8,   1.7927,  34.8294,2,  34.8275,2,   -999.0,9,  -999.00,9,  -999.00,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,-999.000,   -999.0,9,   -999.0,9,   4000,-999.0000,-999.000,-999.000,9,  1.4641,-999.000
      06MT28_1,   A08,   165,  1,     61,    323,2,19940330,0328, -8.2740, -33.4628, 4600,   4004.8,   1.7927,  34.8294,2,  34.8277,2,   -999.0,9,  -999.00,9,  -999.00,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,-999.000,   -999.0,9,   -999.0,9,   4000,-999.0000,-999.000,-999.000,9,  1.4641,-999.000
      06MT28_1,   A08,   165,  2,     15,    221,2,19940330,0530, -8.2727, -33.4565, 4700,     14.1,  28.5828,  36.6194,2,  36.6194,2,   -999.0,9,  -999.00,9,  -999.00,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,-999.000,   -999.0,9,   -999.0,9,     10,-999.0000,-999.000,-999.000,9, 28.5794,-999.000
      06MT28_1,   A08,   165,  2,     16,    210,2,19940330,0530, -8.2727, -33.4565, 4700,   1000.8,   4.1046,  34.5474,2,  34.5505,2,   -999.0,9,  -999.00,9,  -999.00,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,-999.000,   -999.0,9,   -999.0,9,    998,-999.0000,-999.000,-999.000,9,  4.0280,-999.000
      06MT28_1,   A08,   165,  2,     17,    211,2,19940330,0530, -8.2727, -33.4565, 4700,   1000.8,   4.1046,  34.5474,2,  34.5507,2,   -999.0,9,  -999.00,9,  -999.00,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,-999.000,   -999.0,9,   -999.0,9,    998,-999.0000,-999.000,-999.000,9,  4.0280,-999.000
      06MT28_1,   A08,   165,  2,     18,    212,2,19940330,0530, -8.2727, -33.4565, 4700,   1000.8,   4.1046,  34.5474,2,  34.5475,2,   -999.0,9,  -999.00,9,  -999.00,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,-999.000,   -999.0,9,   -999.0,9,    998,-999.0000,-999.000,-999.000,9,  4.0280,-999.000
      06MT28_1,   A08,   165,  2,     19,    213,2,19940330,0530, -8.2727, -33.4565, 4700,   1000.8,   4.1046,  34.5474,2,  34.5238,4,   -999.0,9,  -999.00,9,  -999.00,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,-999.000,   -999.0,9,   -999.0,9,    998,-999.0000,-999.000,-999.000,9,  4.0280,-999.000
      06MT28_1,   A08,   165,  2,     20,    214,2,19940330,0530, -8.2727, -33.4565, 4700,   1000.8,   4.1046,  34.5474,2,  34.5500,2,   -999.0,9,  -999.00,9,  -999.00,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,-999.000,   -999.0,9,   -999.0,9,    998,-999.0000,-999.000,-999.000,9,  4.0280,-999.000
      06MT28_1,   A08,   165,  2,     21,    215,2,19940330,0530, -8.2727, -33.4565, 4700,   1000.8,   4.1046,  34.5474,2,  34.5492,2,   -999.0,9,  -999.00,9,  -999.00,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,-999.000,   -999.0,9,   -999.0,9,    998,-999.0000,-999.000,-999.000,9,  4.0280,-999.000
      06MT28_1,   A08,   165,  2,     22,    216,2,19940330,0530, -8.2727, -33.4565, 4700,   1000.8,   4.1046,  34.5474,2,  34.5496,2,   -999.0,9,  -999.00,9,  -999.00,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,-999.000,   -999.0,9,   -999.0,9,    998,-999.0000,-999.000,-999.000,9,  4.0280,-999.000
      06MT28_1,   A08,   165,  2,     23,    217,2,19940330,0530, -8.2727, -33.4565, 4700,   1000.8,   4.1046,  34.5474,2,  34.5524,2,   -999.0,9,  -999.00,9,  -999.00,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,-999.000,   -999.0,9,   -999.0,9,    998,-999.0000,-999.000,-999.000,9,  4.0280,-999.000
