EXPOCODE,STNNBR,CASTNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,SALNTY,SALNTY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,AMMONI,AMMONI_FLAG_W,TCARBN,TCARBN_FLAG_W,PCO2,PCO2_FLAG_W,PCO2TMP,DOC,DOCE,DOC_FLAG_W,POC,POC_FLAG_W,PON,PON_FLAG_W,THETA
,,,,,,,,,METERS,DBAR,ITS-90,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PPM,,DEG C,UMOL/KG,UMOL/KG,,ug/kg,,ug/kg,,DEG C
  320619970113,     1,  7,     22,2,19970113,0000,-76.5006, 168.9990,  732,      5.4,   0.7230,  34.2900,2,    414.0,2,    52.75,2,     8.98,2,     0.10,2,     0.67,2,     0.17,2,   -999.0,9,   -999.0,9,     -999,   -999.0,   -999.0,9,     -999,9,     -999,9,   0.7228
  320619970113,     1, 10,     22,2,19970113,0000,-76.5006, 168.9990,  732,      5.4,   0.5470,  34.2790,2,    411.6,2,    50.90,2,     9.24,2,     0.12,2,     0.68,2,      0.2,2,   -999.0,9,   -999.0,9,     -999,   -999.0,   -999.0,9,     -999,9,     -999,9,   0.5468
  320619970113,     1,  5,     21,2,19970113,0000,-76.5006, 168.9990,  732,      6.9,   0.6810,  34.2300,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,     -999,9,   -999.0,9,   -999.0,9,     -999,   -999.0,   -999.0,9,     -999,9,     -999,9,   0.6807
  320619970113,     1,  5,     19,2,19970113,0000,-76.5006, 168.9990,  732,      7.0,   0.6730,  34.2320,2,    411.1,2,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,     -999,9,   -999.0,9,   -999.0,9,     -999,   -999.0,   -999.0,9,    46.03,2,     7.84,2,   0.6727
  320619970113,     1,  5,     20,2,19970113,0000,-76.5006, 168.9990,  732,      7.0,   0.6820,  34.2300,2,   -999.0,9,    52.07,2,     8.22,2,     0.13,2,     0.63,2,     0.32,2,   -999.0,9,   -999.0,9,     -999,   -999.0,   -999.0,9,     -999,9,     -999,9,   0.6817
  320619970113,     1,  1,     22,2,19970113,0000,-76.5006, 168.9990,  732,      9.0,   0.5920,  34.2350,2,    407.2,2,    53.14,2,     8.53,2,     0.12,2,     0.66,2,     0.23,2,   2069.4,2,    202.9,2,        4,     49.4,      0.6,2,    37.48,2,     6.06,2,   0.5916
  320619970113,     1,  7,     21,2,19970113,0000,-76.5006, 168.9990,  732,      9.6,   0.6730,  34.2900,2,    413.7,2,    52.65,2,     8.98,2,     0.10,2,     0.68,2,     0.18,2,   -999.0,9,   -999.0,9,     -999,   -999.0,   -999.0,9,     -999,9,     -999,9,   0.6726
  320619970113,     1,  2,     21,2,19970113,0000,-76.5006, 168.9990,  732,      9.7,   0.5590,  34.2250,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,     -999,9,   -999.0,9,   -999.0,9,     -999,   -999.0,   -999.0,9,     -999,9,     -999,9,   0.5586
  320619970113,     1,  2,      7,2,19970113,0000,-76.5006, 168.9990,  732,      9.8,   0.5090,  34.2280,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,     -999,9,   -999.0,9,   -999.0,9,     -999,   -999.0,   -999.0,9,     -999,9,     -999,9,   0.5086
  320619970113,     1,  2,      4,2,19970113,0000,-76.5006, 168.9990,  732,      9.8,   0.5250,  34.2240,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,     -999,9,   -999.0,9,   -999.0,9,     -999,   -999.0,   -999.0,9,     -999,9,     -999,9,   0.5246
