EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,CFC113,CFC113_FLAG_W,CCL4,CCL4_FLAG_W,TCARBN,TCARBN_FLAG_W,PCO2,PCO2TMP,PCO2_FLAG_W,TRITUM,TRITER,TRITUM_FLAG_W,HELIUM,HELIUM_FLAG_W,DELHE3,DELHER,DELHE3_FLAG_W,DELC13,DELC13_FLAG_W,DELC14,C14ERR,DELC14_FLAG_W,THETA
,,,,,,,,,,METERS,DBARS,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,PMOL/KG,,PMOL/KG,,UMOL/KG,,PPM,DEGC,,TU,TU,,NMOL/KG,,PERCNT,PERCNT,,O/OO,,O/OO,O/OO,,DEGC
  58JH19940723,  AR18,   577,  2,      3,    103,2,19940726, 66.5100,  -1.8280, 3576,    199.2,   2.7796,  34.9490,2,  34.9449,2,    305.9,2,     5.86,2,    12.94,2,     0.02,2,     0.95,2, -999.000,5, -999.000,5, -999.000,5, -999.000,5,   2150.4,2,    345.4,    2.76754,2, -999.000, -999.000,9,-999.0000,9,  -999.00,  -999.00,9,  -999.00,9,   -999.0,   -999.0,9,   2.7675
  58JH19940723,  AR18,   577,  2,      2,    102,2,19940726, 66.5100,  -1.8280, 3576,    249.3,   2.4355,  34.9428,2,  34.9469,2,    304.2,2,     6.09,2,    13.45,2,     0.01,2,     0.98,2,    6.013,2, -999.000,5, -999.000,5,    7.710,2,   2152.9,2,    350.7,      2.421,2, -999.000, -999.000,9,-999.0000,9,  -999.00,  -999.00,9,  -999.00,9,   -999.0,   -999.0,9,   2.4210
  58JH19940723,  AR18,   577,  2,      1,    101,2,19940726, 66.5100,  -1.8280, 3576,    298.0,   2.0655,  34.9361,2,  34.9380,2,    301.2,2,     6.31,2,    13.71,2,     0.02,2,     1.02,2,    6.385,2, -999.000,5, -999.000,5,    6.998,2,   2155.9,2,    353.2,    2.04895,2, -999.000, -999.000,9,-999.0000,9,  -999.00,  -999.00,9,  -999.00,9,   -999.0,   -999.0,9,   2.0490
  58JH19940723,  AR18,   577,  1,     12,    115,3,19940726, 66.5100,  -1.8280, 3576,    499.0,   0.4561,  34.8943,2,  34.8945,2,    297.6,2,     7.04,2,    14.11,2,     0.01,2,     1.03,2,    4.229,2, -999.000,5,    0.503,2,    5.740,2,   2162.6,2,    346.4,   0.434169,2, -999.000, -999.000,9,-999.0000,9,  -999.00,  -999.00,9,  -999.00,9,   -999.0,   -999.0,9,   0.4342
  58JH19940723,  AR18,   577,  1,     11,    104,2,19940726, 66.5100,  -1.8280, 3576,    799.5,  -0.3263,  34.9011,2,  34.8993,2,    293.7,2,     8.42,2,    14.46,2,     0.01,2,     1.05,2,    3.015,2, -999.000,5,    0.213,2,    3.512,2,   2165.7,2,    341.7,  -0.358411,2, -999.000, -999.000,9,-999.0000,9,  -999.00,  -999.00,9,  -999.00,9,   -999.0,   -999.0,9,  -0.3584
  58JH19940723,  AR18,   577,  1,     10,    107,2,19940726, 66.5100,  -1.8280, 3576,    999.3,  -0.5571,  34.9053,2,  34.9044,2,    295.5,2,     9.37,2,    14.56,2,     0.01,2,     1.07,2,    1.799,2, -999.000,5, -999.000,5,    3.112,2,   2165.0,2,    333.9,  -0.597142,2, -999.000, -999.000,9,-999.0000,9,  -999.00,  -999.00,9,  -999.00,9,   -999.0,   -999.0,9,  -0.5971
  58JH19940723,  AR18,   577,  1,      9,    111,2,19940726, 66.5100,  -1.8280, 3576,   1198.7,  -0.6979,  34.9085,2,  34.9085,2,    294.9,2,    10.23,2,    14.68,2,     0.01,2,     1.08,2,    1.526,2, -999.000,5,    0.087,2,    2.174,2,   2164.8,2,    334.4,  -0.746709,2, -999.000, -999.000,9,-999.0000,9,  -999.00,  -999.00,9,  -999.00,9,   -999.0,   -999.0,9,  -0.7467
  58JH19940723,  AR18,   577,  1,      8,    112,2,19940726, 66.5100,  -1.8280, 3576,   1498.6,  -0.8159,  34.9099,2,  34.9097,2,    296.1,2,    11.13,2,    14.82,2,     0.01,2,     1.08,2,    0.908,2, -999.000,5,    0.098,2,    1.886,2,   2164.4,2,    327.8,  -0.879509,2, -999.000, -999.000,9,-999.0000,9,  -999.00,  -999.00,9,  -999.00,9,   -999.0,   -999.0,9,  -0.8795
  58JH19940723,  AR18,   577,  1,      7,    117,3,19940726, 66.5100,  -1.8280, 3576,   1750.0,  -0.8683,  34.9098,2,  34.9091,2,    296.5,2,    11.66,2,    14.74,2,     0.02,2,     1.11,2,    0.768,2, -999.000,5,    0.111,2,    1.510,2,   2165.6,2,    322.4,  -0.945745,2, -999.000, -999.000,9,-999.0000,9,  -999.00,  -999.00,9,  -999.00,9,   -999.0,   -999.0,9,  -0.9457
  58JH19940723,  AR18,   577,  1,      6,    106,2,19940726, 66.5100,  -1.8280, 3576,   1998.5,  -0.8984,  34.9095,2,  34.9091,2,    297.4,2,    12.08,2,    14.89,2,     0.01,2,     1.09,2,    0.723,2, -999.000,5,    0.042,2,    1.542,2,   2166.1,2,    322.5,  -0.990728,2, -999.000, -999.000,9,-999.0000,9,  -999.00,  -999.00,9,  -999.00,9,   -999.0,   -999.0,9,  -0.9907
