EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,THETA,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,TRITUM,TRITUM_FLAG_W,HELIUM,HELIUM_FLAG_W,DELHE3,DELHE3_FLAG_W,DELC14,DELC14_FLAG_W,DELC13,DELC13_FLAG_W,TCARBN,TCARBN_FLAG_W,PCO2,PCO2_FLAG_W,PCO2_TMP,ALKALI,ALKALI_FLAG_W,C14ERR,HELIER,DELHER,TRITER
,,,,,,,,,,,,DBAR,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,DEG C,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,TU,,NMOL/KG,,PERCNT,,/MILLE,,/MILLE,,UMOL/KG,,UATM,,DEG C,UMOL/KG,,/MILLE,NMOL/KG,PERCNT,TU
   31WTTUNES_2,  P17S,124,1,12,12,2,19910721,2322,-6.005,-135.0033,4484,381.6,9.4287,34.7103,2,34.7132,2,19.9,2,9.3857,20.7,2,35.15,2,36.09,2,0.15,2,2.66,2,0.023,2,0.023,2,-999,9,-999,9,-999,9,-999,9,-999,9,2264.3,2,1602.7,2,20,-999,9,-999,-999,-999,-999
   31WTTUNES_2,  P17S,124,1,13,13,2,19910721,2322,-6.005,-135.0033,4484,454.3,8.5111,34.6527,2,34.6574,2,41.1,2,8.4628,41.2,2,36.85,2,36.66,2,0,2,2.56,3,0.018,2,0.014,2,-999,9,-999,9,-999,9,-999,9,-999,9,2258,2,1448.2,2,20,-999,9,-999,-999,-999,-999
   31WTTUNES_2,  P17S,124,1,14,14,2,19910721,2322,-6.005,-135.0033,4484,556.3,7.5365,34.603,2,34.6055,2,44.9,2,7.4811,43.2,2,43.35,2,38.73,2,0.06,2,2.74,2,0.005,2,0.003,2,-999,9,-999,9,-999,9,-999,9,-999,9,2269.6,2,1603.8,2,20,-999,9,-999,-999,-999,-999
   31WTTUNES_2,  P17S,124,1,15,15,2,19910721,2322,-6.005,-135.0033,4484,656.2,6.5979,34.5639,2,34.5666,2,53.2,2,6.5369,53.3,2,51.2,2,39.86,2,0.02,2,2.78,2,0.001,2,-0.002,2,-999,9,-999,9,-999,9,-999,9,-999,9,2277,2,1536.1,2,20,-999,9,-999,-999,-999,-999
   31WTTUNES_2,  P17S,124,1,16,16,2,19910721,2322,-6.005,-135.0033,4484,755.7,5.8283,34.543,2,34.5465,2,63.6,2,5.7619,66.6,2,59.44,2,39.88,2,0,2,2.82,2,0.006,2,0.002,2,-999,9,-999,9,-999,9,-999,9,-999,9,2278,2,1537.4,2,20,-999,9,-999,-999,-999,-999
   31WTTUNES_2,  P17S,124,1,17,17,2,19910721,2322,-6.005,-135.0033,4484,908.1,4.9438,34.5376,2,34.5418,2,79.1,2,4.8691,81.1,2,73.1,2,39.3,2,0.06,2,2.79,2,0.027,4,0.005,3,-999,9,-999,9,-999,9,-999,9,-999,9,2289.4,2,1469.9,2,20,-999,9,-999,-999,-999,-999
   31WTTUNES_2,  P17S,124,1,18,18,2,19910721,2322,-6.005,-135.0033,4484,1055,4.2722,34.5475,2,34.5508,2,87.5,2,4.1897,89.3,2,86.45,2,38.94,2,0.04,2,2.78,2,0.014,3,0,2,-999,9,-999,9,-999,9,-999,9,-999,9,2297.1,2,1439.7,2,20,-999,9,-999,-999,-999,-999
   31WTTUNES_2,  P17S,124,1,19,19,2,19910721,2322,-6.005,-135.0033,4484,1201.6,3.7745,34.5625,2,34.5651,2,97,2,3.6837,97.5,2,96.75,2,38.62,2,0,2,2.78,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,2306.8,2,1417.6,2,20,-999,9,-999,-999,-999,-999
   31WTTUNES_2,  P17S,124,1,20,20,2,19910721,2322,-6.005,-135.0033,4484,1392.4,3.2628,34.5805,2,34.5837,2,105.7,2,3.1611,108,2,107.12,2,37.99,2,0,2,2.7,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,2313.5,2,1355.1,2,20,-999,9,-999,-999,-999,-999
   31WTTUNES_2,  P17S,124,1,21,21,2,19910721,2322,-6.005,-135.0033,4484,1581,2.8591,34.6013,2,34.6021,2,114.1,2,2.7461,112.3,2,116.77,2,37.78,2,0,2,2.68,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,2319.1,2,1360.5,2,20,-999,9,-999,-999,-999,-999
