EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,TCARBN,TCARBN_FLAG_W,PCO2,PCO2TMP,PCO2_FLAG_W,DELC13,DELC13_FLAG_W,DELC14,C14ERR,DELC14_FLAG_W,THETA
,,,,,,,,,,METERS,DBARS,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PPM,DEGC,,O/OO,,O/OO,O/OO,,DEGC
  58JH19920712,  AR18,   933,  2,     14,      2,2,19920715, 64.0010,  -4.9930, 3376,    501.4,   0.1760,  34.8948,2,-999.0000,9,    302.6,2,     6.81,2,    14.03,2,     0.01,2,     1.02,2,   2161.2,2,    341.2,  0.155119086,2,     1.04,2,     44.5,      4.1,2,   0.1551
  58JH19920712,  AR18,   933,  2,     13,      1,2,19920715, 64.0010,  -4.9930, 3376,    695.4,  -0.2680,  34.9025,2,  34.9070,2,    301.5,2,     7.57,2,    14.08,2,     0.01,2,     1.02,2,   2170.7,2,   -999.0,         -999,9,     1.06,2,      4.7,      4.0,2,  -0.2956
  58JH19920712,  AR18,   933,  1,     12,     12,2,19920715, 64.0010,  -4.9930, 3376,    794.2,  -0.3160,  34.9074,2,  34.9060,2,    310.1,2,     7.81,2,    14.35,2,     0.01,2,     1.08,2,   2156.2,2,    335.9, -0.347937789,2,     1.00,2,      0.5,      8.8,2,  -0.3479
  58JH19920712,  AR18,   933,  1,     11,     11,2,19920715, 64.0010,  -4.9930, 3376,    991.1,  -0.6000,  34.9116,2,  34.9100,2,    304.0,2,     8.99,2,    14.66,2,     0.01,2,     1.06,2,   2160.2,2,    333.1, -0.639299816,2,     1.19,2,    -23.4,      4.1,2,  -0.6393
  58JH19920712,  AR18,   933,  1,     10,     10,2,19920715, 64.0010,  -4.9930, 3376,   1188.6,  -0.7290,  34.9143,2,  34.9130,2,    303.1,2,     9.76,2,    14.82,2,     0.01,2,     1.09,2,   2165.1,2,    328.9,  -0.77699655,2,     1.27,2,    -31.1,      4.1,2,  -0.7770
  58JH19920712,  AR18,   933,  1,      9,      9,2,19920715, 64.0010,  -4.9930, 3376,   1386.4,  -0.8130,  34.9144,2,  34.9130,2,    313.0,2,    10.42,2,    14.82,2,     0.01,2,     1.08,2,   2160.1,2,    325.3, -0.870497286,2,     1.18,2,    -44.3,     11.7,2,  -0.8705
  58JH19920712,  AR18,   933,  1,      8,      8,2,19920715, 64.0010,  -4.9930, 3376,   1585.6,  -0.8680,  34.9147,2,  34.9140,2,    307.2,2,    10.87,2,    14.97,2,     0.01,2,     1.10,2,   2158.9,2,    323.3, -0.935875645,2,     1.16,2,    -46.2,      4.2,2,  -0.9359
  58JH19920712,  AR18,   933,  1,      7,      7,2,19920715, 64.0010,  -4.9930, 3376,   1783.1,  -0.8900,  34.9147,2,  34.9130,2,    303.1,2,    11.25,2,    15.01,2,     0.02,2,     1.12,2,   2158.3,2,    321.7, -0.969133417,2,     1.14,2,    -57.7,      4.3,2,  -0.9691
  58JH19920712,  AR18,   933,  1,      6,      6,2,19920715, 64.0010,  -4.9930, 3376,   1981.5,  -0.9200,  34.9147,2,  34.9130,2,    303.2,2,    11.59,2,    15.15,2,     0.03,2,     1.17,2,   2159.2,2,    321.4,  -1.01092219,2,     1.16,2,    -53.0,      6.8,2,  -1.0109
  58JH19920712,  AR18,   933,  1,      5,      5,2,19920715, 64.0010,  -4.9930, 3376,   2229.9,  -0.9190,  34.9150,2,  34.9130,2,    303.4,2,    11.93,2,    15.04,2,     0.02,2,     1.14,2,   2157.8,2,    320.8,  -1.02616347,2,     1.12,2,    -62.7,     10.7,2,  -1.0262
  58JH19920712,  AR18,   933,  1,      4,      4,2,19920715, 64.0010,  -4.9930, 3376,   2478.4,  -0.9060,  34.9123,2,  34.9140,2,    302.1,2,    11.97,2,    15.22,2,     0.02,2,     1.11,2,   2158.2,2,    321.3,  -1.03066617,2,     1.16,2,    -60.0,      4.0,2,  -1.0307
  58JH19920712,  AR18,   933,  1,      3,      3,2,19920715, 64.0010,  -4.9930, 3376,   2727.1,  -0.8900,  34.9119,2,  34.9130,2,    302.8,2,    11.97,2,    15.11,2,     0.01,2,     1.08,2,   2159.4,2,    321.1,  -1.03328102,2,     1.16,2,    -68.5,      3.9,2,  -1.0333
  58JH19920712,  AR18,   933,  1,      2,      2,2,19920715, 64.0010,  -4.9930, 3376,   2974.9,  -0.8720,  34.9126,2,  34.9130,2,    317.6,4,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,   -999.0,9,   -999.0,         -999,9,  -999.00,9,   -999.0,   -999.0,9,  -1.0349
  58JH19920712,  AR18,   933,  1,      1,      1,2,19920715, 64.0010,  -4.9930, 3376,   3175.0,  -0.8550,  34.9126,2,  34.9130,2,    302.4,2,    12.28,2,    15.11,2,     0.02,2,     1.11,2,   2159.7,2,    320.8,  -1.03456133,2,     1.15,2,    -64.8,      4.4,2,  -1.0346
