EXPOCODE,STNNBR,CASTNO,BTLNBR,BTLNBR_FLAG_W,DATE,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,SOMSAL,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,AMMONI,AMMONI_FLAG_W,TCARBN,TCARBN_FLAG_W,FCO2,FCO2_TMP,FCO2_FLAG_W,TRITUM,TRITER,TRITUM_FLAG_W,HELIUM,HELIUM_FLAG_W,DELHE3,DELHER,DELHE3_FLAG_W,C14_BIO,C14_BIO_FLAG_W,POC,POC_FLAG_W,PON,PON_FLAG_W,CHLORA,CHLORA_FLAG_W,PHAEO,PHAEO_FLAG_W,BACT,BACT_FLAG_W,CTDNO,BNLID,THETA
,,,,,,,,METERS,DBARS,ITS-90,PSS-78,,PSS-78,,PSS-78,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UATM,DEGC,,TU,TU,,NMOL/KG,,PERCNT,PERCNT,,UKNOWN,,ug/kg,,ug/kg,,UG/L,,UG/L,,CELLS/ML,,,,DEGC
  32L919930718,     1,  1,      3,2,19930722, 80.3100,  -9.6440,  317,    201.0,   0.3140,  34.6560,2,-999.0000,9,  34.4270,    270.7,2,    284.8,2,    12.56,2,    12.84,2,  -999.00,9,     0.95,2,0.072000004,2,   2151.5,2,    734.2,      17.5,2, -999.000, -999.000,9,-999.0000,9,  -999.00,  -999.00,9,   -999.0,9, 3.13100004,2,0.261000007,2,     0.04,2,     0.02,2,    33000,2,  3,   3003,   0.3060
  32L919930718,     1,  1,      2,2,19930722, 80.3100,  -9.6440,  317,    250.0,   0.3750,  34.7800,2,  34.8340,2,  34.5480,    267.7,2,    282.5,2,    12.26,2,    12.95,2,  -999.00,9,     0.96,2,0.052000009,2,   2154.3,2,    723.0,      17.5,2,    1.960,    0.029,2,   1.8340,2,     9.40,     0.20,2,   -999.0,9, 7.09800005,2,0.389999986,2,     0.02,2,     0.02,2,    40700,2,  3,   3002,   0.3648
  32L919930718,     1,  1,      1,2,19930722, 80.3100,  -9.6440,  317,    301.0,   0.3880,  34.8170,2,-999.0000,9,  34.6040,    267.7,2,    282.9,2,    11.90,2,    12.83,2,  -999.00,9,     0.97,2,0.013000011,2,   2153.6,2,    712.8,      17.5,2, -999.000, -999.000,9,-999.0000,9,  -999.00,  -999.00,9,   -999.0,9, 5.61600018,2,0.275000006,2,     0.01,2,     0.02,2,    45600,2,  3,   3001,   0.3755
  32L919930718,     1,  2,     11,2,19930722, 80.3100,  -9.6440,  317,     20.0,  -1.4490,  32.3170,2,-999.0000,9,-999.0000,    387.6,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,       -999,9,   -999.0,9,   -999.0,      -999,9, -999.000, -999.000,9,-999.0000,9,  -999.00,  -999.00,9,   -999.0,9,       -999,9,       -999,9,  -999.00,9,  -999.00,9,     -999,9,  4,   3023,  -1.4494
  32L919930718,     1,  2,     12,2,19930722, 80.3100,  -9.6440,  317,     20.0,  -1.4040,  32.3130,2,-999.0000,9,  32.1460,    387.0,2,    409.3,2,     5.90,2,     0.03,2,  -999.00,9,     0.85,2,     -0.059,2,   2083.1,2,    539.0,14.6000004,2, -999.000, -999.000,9,-999.0000,9,  -999.00,  -999.00,9,   -999.0,9, 23.4109993,2, 2.30800009,2,     0.26,2,     0.02,2,     -999,9,  4,   3024,  -1.4044
  32L919930718,     1,  2,      9,2,19930722, 80.3100,  -9.6440,  317,     27.0,  -1.4070,  32.3370,2,-999.0000,9,-999.0000,    367.9,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,       -999,9,   -999.0,9,   -999.0,      -999,9, -999.000, -999.000,9,-999.0000,9,  -999.00,  -999.00,9,   -999.0,9,       -999,9,       -999,9,  -999.00,9,  -999.00,9,     -999,9,  4,   3021,  -1.4075
  32L919930718,     1,  2,     10,2,19930722, 80.3100,  -9.6440,  317,     27.0,  -1.4010,  32.3370,2,-999.0000,9,-999.0000,    368.8,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,       -999,9,   -999.0,9,   -999.0,      -999,9, -999.000, -999.000,9,-999.0000,9,  -999.00,  -999.00,9,   -999.0,9,       -999,9,       -999,9,  -999.00,9,  -999.00,9,     -999,9,  4,   3022,  -1.4015
  32L919930718,     1,  2,      8,2,19930722, 80.3100,  -9.6440,  317,     35.0,  -1.5510,  32.3530,2,-999.0000,9,-999.0000,    358.8,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,       -999,9,   -999.0,9,   -999.0,      -999,9, -999.000, -999.000,9,-999.0000,9,  -999.00,  -999.00,9,   -999.0,9,       -999,9,       -999,9,  -999.00,9,  -999.00,9,     -999,9,  4,   3020,  -1.5516
  32L919930718,     1,  2,      7,2,19930722, 80.3100,  -9.6440,  317,     61.0,  -1.7370,  32.4130,2,-999.0000,9,-999.0000,    350.0,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,       -999,9,   -999.0,9,   -999.0,      -999,9, -999.000, -999.000,9,-999.0000,9,  -999.00,  -999.00,9,   -999.0,9,       -999,9,       -999,9,  -999.00,9,  -999.00,9,     -999,9,  4,   3019,  -1.7380
  32L919930718,     1,  2,      6,2,19930722, 80.3100,  -9.6440,  317,    101.0,  -1.5440,  32.9810,2,-999.0000,9,-999.0000,    323.0,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,       -999,9,   -999.0,9,   -999.0,      -999,9, -999.000, -999.000,9,-999.0000,9,  -999.00,  -999.00,9,   -999.0,9,       -999,9,       -999,9,  -999.00,9,  -999.00,9,     -999,9,  4,   3018,  -1.5460
