BOTTLE,20020817WHPOSA
#code : jjward hyd_to_exchange.pl 
#original files copied from HTML directory: Aug. 17, 2002
#original HYD file: i02ehy.txt   Sat Aug 17 16:20:57 2002
#original SUM file: i02esu.txt   Tue Jan  8 10:56:35 2002
EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,LCAT,LCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,TRITUM,TRITUM_FLAG_W,HELIUM,HELIUM_FLAG_W,DELHE3,DELHE3_FLAG_W,DELC14,DELC14_FLAG_W,DELC13,DELC13_FLAG_W,NEON,NEON_FLAG_W,TCARBN,TCARBN_FLAG_W,PCO2,PCO2_FLAG_W,ALKALI,ALKALI_FLAG_W,CTDRAW,C14ERR,HELIER,DELHER,NEONER,THETA,TRITER
,,,,,,,,,,,,DBAR,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PM/KG,,PM/KG,,TU,,UMOL/KG,,PERCNT,,/MILLE,,/MILLE,,NMOL/KG,,UMOL/KG,,UATM,,UMOL/KG,,,/MILLE,NMOL/KG,PERCNT,NMOL/KG,ITS-90,TU
    316N145_14,  I02E,  1077,  1,      2, 022,2,19951204,2320, -8.9998, 105.6333, 6445,   6123.8,   1.3257,  34.7099,2,  34.7097,2,    194.8,2,    196.8,2,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,   -0.001,2,    0.013,2, -999.000,1,-999.0000,1,  -999.00,9,   -999.0,9,   -999.0,9,-999.000,9,   -999.0,9,   -999.0,5,   2398.9,2,61387.8,  -999.0,-999.0000,-999.000,-999.000,  0.7540,-999.000
    316N145_14,  I02E,  1077,  1,     19, 005,2,19951204,2320, -8.9998, 105.6333, 6445,   6123.9,   1.3265,  34.7117,2,  34.7117,2,    194.8,2,    196.4,2,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9, -999.000,5, -999.000,5, -999.000,1,-999.0000,1,  -999.00,9,   -999.0,9,   -999.0,9,-999.000,9,   -999.0,9,   -999.0,5,   -999.0,9,61387.5,  -999.0,-999.0000,-999.000,-999.000,  0.7547,-999.000
    316N145_14,  I02E,  1077,  1,      7, 017,2,19951204,2320, -8.9998, 105.6333, 6445,   6123.9,   1.3259,  34.7102,2,  34.7087,2,    194.8,2,    196.8,2,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,    0.002,2,    0.029,2, -999.000,1,-999.0000,1,  -999.00,9,   -999.0,9,   -999.0,9,-999.000,9,   -999.0,9,   -999.0,5,   -999.0,9,61387.9,  -999.0,-999.0000,-999.000,-999.000,  0.7541,-999.000
    316N145_14,  I02E,  1077,  1,     24, 036,2,19951204,2320, -8.9998, 105.6333, 6445,   6124.0,   1.3264,  34.7116,2,  34.7109,2,    194.8,2,    196.3,2,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9, -999.000,5, -999.000,5, -999.000,1,-999.0000,1,  -999.00,9,   -999.0,9,   -999.0,9,-999.000,9,   -999.0,9,   -999.0,5,   -999.0,9,61389.0,  -999.0,-999.0000,-999.000,-999.000,  0.7546,-999.000
    316N145_14,  I02E,  1077,  1,      6, 018,2,19951204,2320, -8.9998, 105.6333, 6445,   6124.1,   1.3260,  34.7102,2,  34.7109,2,    194.8,2,    196.7,2,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,   -0.001,2,    0.009,2, -999.000,1,-999.0000,1,  -999.00,9,   -999.0,9,   -999.0,9,-999.000,9,   -999.0,9,   -999.0,5,   -999.0,9,61390.3,  -999.0,-999.0000,-999.000,-999.000,  0.7542,-999.000
    316N145_14,  I02E,  1077,  1,     16, 008,2,19951204,2320, -8.9998, 105.6333, 6445,   6124.2,   1.3265,  34.7111,2,  34.7113,2,    194.8,2,    196.6,2,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,    0.001,2,    0.000,2, -999.000,1,-999.0000,1,  -999.00,9,   -999.0,9,   -999.0,9,-999.000,9,   -999.0,9,   -999.0,5,   -999.0,9,61391.1,  -999.0,-999.0000,-999.000,-999.000,  0.7547,-999.000
    316N145_14,  I02E,  1077,  1,     25, 9446,2,19951204,2320, -8.9998, 105.6333, 6445,   6124.2,   1.3265,  34.7119,2,  34.7144,3,    194.8,2,    196.5,2,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9, -999.000,5, -999.000,5, -999.000,1,-999.0000,1,  -999.00,9,   -999.0,9,   -999.0,9,-999.000,9,   -999.0,9,   -999.0,5,   -999.0,9,61391.4,  -999.0,-999.0000,-999.000,-999.000,  0.7547,-999.000
    316N145_14,  I02E,  1077,  1,     22, 019,2,19951204,2320, -8.9998, 105.6333, 6445,   6124.2,   1.3261,  34.7112,2,  34.7113,2,    194.8,2,    196.4,2,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,    0.009,2,    0.005,2, -999.000,1,-999.0000,1,  -999.00,9,   -999.0,9,   -999.0,9,-999.000,9,   -999.0,9,   -999.0,5,   -999.0,9,61391.7,  -999.0,-999.0000,-999.000,-999.000,  0.7543,-999.000
    316N145_14,  I02E,  1077,  1,     15, 009,2,19951204,2320, -8.9998, 105.6333, 6445,   6124.3,   1.3265,  34.7115,2,  34.7123,2,    194.8,2,    196.5,2,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,    0.006,2,    0.004,2, -999.000,1,-999.0000,1,  -999.00,9,   -999.0,9,   -999.0,9,-999.000,9,   -999.0,9,   -999.0,5,   -999.0,9,61392.4,  -999.0,-999.0000,-999.000,-999.000,  0.7546,-999.000
    316N145_14,  I02E,  1077,  1,     17, 038,2,19951204,2320, -8.9998, 105.6333, 6445,   6124.5,   1.3261,  34.7116,2,  34.7111,2,    194.8,2,    196.6,2,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,    0.004,2,    0.011,2, -999.000,1,-999.0000,1,  -999.00,9,   -999.0,9,   -999.0,9,-999.000,9,   -999.0,9,   -999.0,5,   2547.9,4,61393.9,  -999.0,-999.0000,-999.000,-999.000,  0.7542,-999.000
    316N145_14,  I02E,  1077,  1,      8, 016,2,19951204,2320, -8.9998, 105.6333, 6445,   6124.6,   1.3260,  34.7102,2,  34.7115,2,    194.8,2,    196.7,2,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,    0.000,2,   -0.002,2, -999.000,1,-999.0000,1,  -999.00,9,   -999.0,9,   -999.0,9,-999.000,9,   -999.0,9,   -999.0,5,   -999.0,9,61395.5,  -999.0,-999.0000,-999.000,-999.000,  0.7541,-999.000
    316N145_14,  I02E,  1077,  1,      9, 015,2,19951204,2320, -8.9998, 105.6333, 6445,   6124.7,   1.3260,  34.7106,2,  34.7103,2,    194.8,2,    197.9,2,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,    0.002,2,   -0.002,2, -999.000,1,-999.0000,1,  -999.00,9,   -999.0,9,   -999.0,9,-999.000,9,   -999.0,9,   -999.0,5,   -999.0,9,61395.4,  -999.0,-999.0000,-999.000,-999.000,  0.7541,-999.000
    316N145_14,  I02E,  1077,  1,     26, 037,2,19951204,2320, -8.9998, 105.6333, 6445,   6124.8,   1.3265,  34.7117,2,  34.7119,2,    194.8,2,    196.6,2,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,    0.000,2,   -0.005,2, -999.000,1,-999.0000,1,  -999.00,9,   -999.0,9,   -999.0,9,-999.000,9,   -999.0,9,   -999.0,5,   -999.0,9,61397.8,  -999.0,-999.0000,-999.000,-999.000,  0.7546,-999.000
    316N145_14,  I02E,  1077,  1,     11, 9425,2,19951204,2320, -8.9998, 105.6333, 6445,   6124.9,   1.3264,  34.7117,2,  34.7101,2,    194.8,2,    196.7,2,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,    0.005,2,    0.002,2, -999.000,1,-999.0000,1,  -999.00,9,   -999.0,9,   -999.0,9,-999.000,9,   -999.0,9,   -999.0,5,   -999.0,9,61397.9,  -999.0,-999.0000,-999.000,-999.000,  0.7545,-999.000
    316N145_14,  I02E,  1077,  1,     28, 032,2,19951204,2320, -8.9998, 105.6333, 6445,   6125.0,   1.3263,  34.7118,2,  34.7109,2,    194.9,2,    196.6,2,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9, -999.000,5, -999.000,5, -999.000,1,-999.0000,1,  -999.00,9,   -999.0,9,   -999.0,9,-999.000,9,   -999.0,9,   -999.0,5,   -999.0,9,61399.8,  -999.0,-999.0000,-999.000,-999.000,  0.7544,-999.000
    316N145_14,  I02E,  1077,  1,     13, 011,2,19951204,2320, -8.9998, 105.6333, 6445,   6125.1,   1.3268,  34.7111,2,  34.7115,2,    194.8,2,    197.0,2,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,    0.003,2,    0.000,2, -999.000,1,-999.0000,1,  -999.00,9,   -999.0,9,   -999.0,9,-999.000,9,   -999.0,9,   -999.0,5,   -999.0,9,61400.5,  -999.0,-999.0000,-999.000,-999.000,  0.7548,-999.000
    316N145_14,  I02E,  1077,  1,     10, 014,2,19951204,2320, -8.9998, 105.6333, 6445,   6125.1,   1.3262,  34.7118,2,  34.7127,2,    194.9,2,    197.1,2,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,    0.003,2,    0.000,2, -999.000,1,-999.0000,1,  -999.00,9,   -999.0,9,   -999.0,9,-999.000,9,   -999.0,9,   -999.0,5,   -999.0,9,61400.6,  -999.0,-999.0000,-999.000,-999.000,  0.7542,-999.000
    316N145_14,  I02E,  1077,  1,     27, 033,2,19951204,2320, -8.9998, 105.6333, 6445,   6125.4,   1.3265,  34.7116,2,  34.7117,2,    194.9,2,    196.3,2,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9, -999.000,5, -999.000,5, -999.000,1,-999.0000,1,  -999.00,9,   -999.0,9,   -999.0,9,-999.000,9,   -999.0,9,   -999.0,5,   -999.0,9,61403.2,  -999.0,-999.0000,-999.000,-999.000,  0.7545,-999.000
    316N145_14,  I02E,  1077,  1,     35, 003,2,19951204,2320, -8.9998, 105.6333, 6445,   6125.4,   1.3268,  34.7113,2,  34.7150,3,    194.9,2,    196.0,2,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9, -999.000,5, -999.000,5, -999.000,1,-999.0000,1,  -999.00,9,   -999.0,9,   -999.0,9,-999.000,9,   -999.0,9,   -999.0,5,   -999.0,9,61403.9,  -999.0,-999.0000,-999.000,-999.000,  0.7548,-999.000
    316N145_14,  I02E,  1077,  1,     14, 010,2,19951204,2320, -8.9998, 105.6333, 6445,   6125.4,   1.3265,  34.7115,2,  34.7117,2,    194.9,2,    197.2,2,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,    0.018,3,    0.015,3, -999.000,1,-999.0000,1,  -999.00,9,   -999.0,9,   -999.0,9,-999.000,9,   -999.0,9,   -999.0,5,   -999.0,9,61404.0,  -999.0,-999.0000,-999.000,-999.000,  0.7545,-999.000
    316N145_14,  I02E,  1077,  1,     34, 026,2,19951204,2320, -8.9998, 105.6333, 6445,   6125.6,   1.3265,  34.7115,2,  34.7123,2,    194.9,2,    196.1,2,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9, -999.000,5, -999.000,5, -999.000,1,-999.0000,1,  -999.00,9,   -999.0,9,   -999.0,9,-999.000,9,   -999.0,9,   -999.0,5,   -999.0,9,61405.4,  -999.0,-999.0000,-999.000,-999.000,  0.7545,-999.000
    316N145_14,  I02E,  1077,  1,     29, 031,2,19951204,2320, -8.9998, 105.6333, 6445,   6125.9,   1.3265,  34.7114,2,  34.7109,2,    194.9,2,    196.5,2,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9, -999.000,5, -999.000,5, -999.000,1,-999.0000,1,  -999.00,9,   -999.0,9,   -999.0,9,-999.000,9,   -999.0,9,   -999.0,5,   -999.0,9,61408.6,  -999.0,-999.0000,-999.000,-999.000,  0.7544,-999.000
    316N145_14,  I02E,  1077,  1,     32, 028,2,19951204,2320, -8.9998, 105.6333, 6445,   6126.1,   1.3268,  34.7111,2,  34.7140,3,    194.9,2,    196.5,2,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9, -999.000,5, -999.000,5, -999.000,1,-999.0000,1,  -999.00,9,   -999.0,9,   -999.0,9,-999.000,9,   -999.0,9,   -999.0,5,   -999.0,9,61409.9,  -999.0,-999.0000,-999.000,-999.000,  0.7547,-999.000
    316N145_14,  I02E,  1077,  1,     30, 030,2,19951204,2320, -8.9998, 105.6333, 6445,   6126.2,   1.3267,  34.7111,2,  34.7123,2,    194.9,2,    196.4,2,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,    0.010,2,    0.001,2, -999.000,1,-999.0000,1,  -999.00,9,   -999.0,9,   -999.0,9,-999.000,9,   -999.0,9,   -999.0,5,   -999.0,9,61411.3,  -999.0,-999.0000,-999.000,-999.000,  0.7546,-999.000
    316N145_14,  I02E,  1077,  1,     33, 027,2,19951204,2320, -8.9998, 105.6333, 6445,   6126.3,   1.3266,  34.7114,2,  34.7119,2,    194.9,2,    196.5,2,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,    0.004,2,   -0.001,2, -999.000,1,-999.0000,1,  -999.00,9,   -999.0,9,   -999.0,9,-999.000,9,   -999.0,9,   -999.0,5,   -999.0,9,61412.5,  -999.0,-999.0000,-999.000,-999.000,  0.7545,-999.000
    316N145_14,  I02E,  1077,  1,     31, 029,2,19951204,2320, -8.9998, 105.6333, 6445,   6126.4,   1.3266,  34.7113,2,  34.7105,2,    194.9,2,    196.8,2,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9, -999.000,5, -999.000,5, -999.000,1,-999.0000,1,  -999.00,9,   -999.0,9,   -999.0,9,-999.000,9,   -999.0,9,   -999.0,5,   -999.0,9,61413.8,  -999.0,-999.0000,-999.000,-999.000,  0.7545,-999.000
    316N145_14,  I02E,  1077,  1,     36, 024,2,19951204,2320, -8.9998, 105.6333, 6445,   6126.6,   1.3267,  34.7111,2,  34.7119,2,    194.9,2,    196.7,2,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,    0.011,3,    0.005,2, -999.000,1,-999.0000,1,  -999.00,9,   -999.0,9,   -999.0,9,-999.000,9,   -999.0,9,   -999.0,5,   2401.1,2,61415.7,  -999.0,-999.0000,-999.000,-999.000,  0.7545,-999.000
