EXPOCODE,SECT_ID,STNNBR,CASTNO,BTLNBR,BTLNBR_FLAG_W,DATE,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,TCARBN,TCARBN_FLAG_W,PCO2,PCO2_FLAG_W,PH_SWS,PH_TEMP,PH_SWS_FLAG_W,THETA
,,,,,,,,,METERS,DBARS,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,UMOL/KG,,PPM,,,DEGC,,DEGC
  33LK19960415,  AR04,     3,  1,      8,9,19960416,  5.8508, -51.4092,   25,      3.0,  28.0003,  36.1742,2,  -9.0000,9,     -9.0,4,     -9.0,9,    -9.00,9,    -9.00,9,    -9.00,9,    -9.00,9,   -9.000,9,   -9.000,9,     -9.0,9,     -9.0,9,-999.0000,  -999.00,9,  27.9996
  33LK19960415,  AR04,     3,  1,      7,2,19960416,  5.8508, -51.4092,   25,     48.3,  27.9367,  36.2854,2,  36.2782,2,    199.8,2,    197.3,2,     1.01,2,     0.01,2,     0.00,2,     0.00,2,   -9.000,9,   -9.000,9,   2029.0,2,    372.2,2,   8.1457,    25.00,2,  27.9253
  33LK19960415,  AR04,     3,  1,      6,2,19960416,  5.8508, -51.4092,   25,     99.6,  23.9516,  36.3083,2,  36.3203,2,    190.7,2,    183.4,2,     2.43,2,     3.51,2,     0.15,2,     0.24,2,   -9.000,9,   -9.000,9,     -9.0,9,     -9.0,9,-999.0000,  -999.00,9,  23.9306
  33LK19960415,  AR04,     3,  1,      5,2,19960416,  5.8508, -51.4092,   25,    150.4,  16.2876,  35.7083,2,  35.6385,2,    167.1,2,    160.9,2,     6.40,2,    12.79,2,     0.04,2,     0.84,2,   -9.000,9,   -9.000,9,     -9.0,9,     -9.0,9,-999.0000,  -999.00,9,  16.2634
  33LK19960415,  AR04,     3,  1,      3,2,19960416,  5.8508, -51.4092,   25,    249.4,   9.7873,  34.9338,2,  34.9361,2,    128.3,2,    131.7,2,    14.05,2,    25.43,2,     0.00,2,     1.58,2,   -9.000,9,   -9.000,9,     -9.0,9,     -9.0,9,-999.0000,  -999.00,9,   9.7587
  33LK19960415,  AR04,     3,  1,      4,2,19960416,  5.8508, -51.4092,   25,    250.7,   9.7914,  34.9309,2,  35.0562,2,    128.2,2,    136.0,2,    13.81,2,    23.65,2,     0.00,2,     1.46,2,   -9.000,9,   -9.000,9,     -9.0,9,     -9.0,9,-999.0000,  -999.00,9,   9.7626
  33LK19960415,  AR04,     3,  1,      2,2,19960416,  5.8508, -51.4092,   25,    390.6,   8.0521,  34.7615,2,  34.7143,2,    119.5,2,    163.5,2,    20.67,2,    31.07,2,     0.00,2,     1.97,2,   -9.000,9,   -9.000,9,     -9.0,9,     -9.0,9,-999.0000,  -999.00,9,   8.0121
  33LK19960415,  AR04,     3,  1,      1,2,19960416,  5.8508, -51.4092,   25,    495.1,   6.9926,  34.6562,2,  34.6616,2,    122.5,2,    122.3,2,    22.74,2,    32.11,2,     0.00,2,     2.05,2,   -9.000,9,   -9.000,9,     -9.0,9,     -9.0,9,-999.0000,  -999.00,9,   6.9455
  33LK19960415,  AR04,     4,  1,     10,2,19960416,  5.8840, -51.4088,   25,      2.0,  28.0759,  36.2386,2,  36.2546,2,    189.4,4,    197.6,2,     0.94,2,     0.00,2,     0.00,2,     0.00,2,   -9.000,9,   -9.000,9,   1997.9,3,    372.6,2,   8.1261,    25.00,2,  28.0754
  33LK19960415,  AR04,     4,  1,      9,2,19960416,  5.8840, -51.4088,   25,     41.0,  27.9388,  36.2694,2,  36.2767,2,    200.6,2,    197.8,2,     0.93,2,     0.00,2,     0.00,2,     0.00,2,   -9.000,9,   -9.000,9,   2007.4,2,     -9.0,9,   8.1254,    25.00,2,  27.9291
