EXPOCODE,SECT_ID,STNNBR,CASTNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,SALNTY,SALNTY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-12,CFC113,CFC113_FLAG_W,CCL4,CCL4_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,FCO2,FCO2_FLAG_W,FCO2_TMP,PH_TOT,PH_TOT_FLAG_W,PH_TMP,DOC,DOC_FLAG_W,DON,DON_FLAG_W,DELC14,DELC13,DELC13_FLAG_W,THETA
,,,,,,,,,,METERS,DBAR,ITS-90,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,PMOL/KG,PMOL/KG,,PMOL/KG,,UMOL/KG,,UMOL/KG,,UATM,,,,,DEG C,UMOL/KG,,UMOL/KG,,/MILLE,/MILLE,,DEG C
  31DS19960105,P14S15,     1,  1,     10,2,19960106,   0,-45.8240, 153.0840, 4468,   1603.4,   2.8598,  34.5698,2,    162.0,2,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,    0.094,    0.033, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,   -999.0,9,20,   7.5729,2,    25.00,   -999.0,9,   -999.0,9,   -999.0,  -999.00,9,   2.7450
  31DS19960105,P14S15,     1,  1,     11,2,19960106,   0,-45.8240, 153.0840, 4468,   1603.6,   2.8618,  34.5707,2,    161.9,2,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,    0.099,    0.036, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,   -999.0,9,20,   7.5721,2,    25.00,   -999.0,9,   -999.0,9,   -999.0,  -999.00,9,   2.7469
  31DS19960105,P14S15,     1,  1,     12,2,19960106,   0,-45.8240, 153.0840, 4468,   1604.8,   2.8508,  34.5732,2,    162.5,4,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,    0.092,    0.043, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,   -999.0,9,20,   7.5712,2,    25.00,   -999.0,9,   -999.0,9,   -999.0,  -999.00,9,   2.7360
  31DS19960105,P14S15,     1,  1,     13,2,19960106,   0,-45.8240, 153.0840, 4468,   1608.3,   2.8442,  34.5734,2,    161.9,2,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9, -999.000, -999.000, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,   -999.0,9,20,   7.5689,3,    25.00,   -999.0,9,   -999.0,9,   -999.0,  -999.00,9,   2.7291
  31DS19960105,P14S15,     1,  1,     14,2,19960106,   0,-45.8240, 153.0840, 4468,   1609.8,   2.8388,  34.5737,2,    161.9,2,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,    0.093,    0.036, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,   -999.0,9,20,   7.5710,2,    25.00,   -999.0,9,   -999.0,9,   -999.0,  -999.00,9,   2.7237
  31DS19960105,P14S15,     1,  1,     15,2,19960106,   0,-45.8240, 153.0840, 4468,   1611.1,   2.8337,  34.5734,2,    161.9,2,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,   -0.027,    0.039, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,   -999.0,9,20,   7.5706,2,    25.00,   -999.0,9,   -999.0,9,   -999.0,  -999.00,9,   2.7185
  31DS19960105,P14S15,     1,  1,     16,2,19960106,   0,-45.8240, 153.0840, 4468,   1612.3,   2.8324,  34.5731,2,    162.4,2,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,    0.096,    0.036, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,   -999.0,9,20,   7.5723,2,    25.00,   -999.0,9,   -999.0,9,   -999.0,  -999.00,9,   2.7172
  31DS19960105,P14S15,     1,  1,      8,2,19960106,   0,-45.8240, 153.0840, 4468,   2000.3,   2.3485,  34.6704,2,    171.3,2,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9, -999.000, -999.000, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,   -999.0,9,20,   7.5836,2,    25.00,   -999.0,9,   -999.0,9,   -999.0,  -999.00,9,   2.2066
  31DS19960105,P14S15,     1,  1,      7,2,19960106,   0,-45.8240, 153.0840, 4468,   2499.1,   2.0011,  34.7264,2,    184.2,2,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9, -999.000, -999.000, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,   -999.0,9,20,   7.5947,3,    25.00,   -999.0,9,   -999.0,9,   -999.0,  -999.00,9,   1.8205
  31DS19960105,P14S15,     1,  1,      6,2,19960106,   0,-45.8240, 153.0840, 4468,   3001.9,   1.6676,  34.7329,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9, -999.000, -999.000, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,   -999.0,9,20,-999.0000,9,  -999.00,   -999.0,9,   -999.0,9,   -999.0,  -999.00,9,   1.4466
