EXPOCODE,SECT_ID,STNNBR,CASTNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,SALNTY,SALNTY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,PCO2,PCO2_FLAG_W,PCO2TMP,RA-8/6,RA-8/6E,RA-8/6_FLAG_W,THETA
,,,,,,,,,,METERS,DBARS,ITS-90,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,UMOL/KG,,UMOL/KG,,UATM,,DEGC,,,,DEGC
  316N19831007, A13.5,1,1,38,2,19831007,0,4.828,-3.963,1580,305,10.117,34.958,2,55,2,16.6,2,34.2,2,-999,9,2.16,2,-999,9,0.038,2,-999,9,-999,9,-999,9,-999,-999,-999,9,10.0812
  316N19831007, A13.5,1,1,39,2,19831007,0,4.828,-3.963,1580,380,8.854,34.83,2,62,2,19.2,2,35.8,2,-999,9,2.28,2,0.038,2,0.025,2,-999,9,-999,9,-999,9,-999,-999,-999,9,8.8128
  316N19831007, A13.5,1,1,40,2,19831007,0,4.828,-3.963,1580,456,7.906,34.736,2,76,2,20.9,2,36.6,2,-999,9,2.37,2,0.008,2,0.01,2,-999,9,-999,9,-999,9,-999,-999,-999,9,7.8596
  316N19831007, A13.5,1,1,41,2,19831007,0,4.828,-3.963,1580,529,7.063,34.656,2,92,2,22.4,2,36.6,2,-999,9,2.43,2,0.006,2,0.002,2,-999,9,-999,9,-999,9,-999,-999,-999,9,7.0123
  316N19831007, A13.5,1,1,42,2,19831007,0,4.828,-3.963,1580,656,5.827,34.573,2,110,2,27.9,2,37.2,2,-999,9,2.52,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,-999,9,5.7697
  316N19831007, A13.5,1,1,43,2,19831007,0,4.828,-3.963,1580,809,5.052,34.556,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,-999,9,4.9853
  316N19831007, A13.5,1,1,44,2,19831007,0,4.828,-3.963,1580,957,4.627,34.624,2,144,2,32.1,2,34.3,2,-999,9,2.39,2,-0.006,2,-0.009,2,-999,9,-999,9,-999,9,-999,-999,-999,9,4.5501
  316N19831007, A13.5,1,1,45,2,19831007,0,4.828,-3.963,1580,1108,4.437,34.746,2,166,2,29.8,2,30.8,2,-999,9,2.16,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,-999,9,4.3481
  316N19831007, A13.5,1,1,46,2,19831007,0,4.828,-3.963,1580,1334,4.247,34.882,2,199,2,25.1,2,26.1,2,-999,9,1.82,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,-999,9,4.1394
  316N19831007, A13.5,1,1,47,2,19831007,0,4.828,-3.963,1580,1550,4.074,34.928,2,215,2,23.4,2,23.8,2,-999,9,1.66,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,-999,9,3.9484
  316N19831007, A13.5,1,1,48,2,19831007,0,4.828,-3.963,1580,1580,4.019,34.934,2,218,2,23.3,2,23.6,2,-999,9,1.64,2,-0.009,2,0.001,2,-999,9,-999,9,-999,9,-999,-999,-999,9,3.8913
  316N19831007, A13.5,2,1,99,2,19831008,0,4.36,-3.928,2815,1,25.927,34.389,2,214,2,1.2,2,0,2,-999,9,0.06,2,1.357,2,0.686,2,1923.7,2,2260,2,264,2,-999,0.66,0.05,2,25.9263
  316N19831007, A13.5,2,1,25,2,19831008,0,4.36,-3.928,2815,3,25.927,34.389,2,214,2,1.2,2,0,2,-999,9,0.06,2,1.357,2,0.686,2,1923.7,2,2260,2,264,2,20,-999,-999,9,25.9263
