EXPOCODE,SECT_ID,STNNBR,CASTNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,SALNTY,SALNTY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,PCO2,PCO2_FLAG_W,PCO2TMP,RA-8/6,RA-8/6E,RA-8/6_FLAG_W,THETA
,,,,,,,,,,METERS,DBARS,ITS-90,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,UMOL/KG,,UMOL/KG,,UATM,,DEGC,,,,DEGC
  316N19831007, A13.5,31,1,45,2,19831021,0,-22.992,1.438,4950,4261,2.382,34.887,2,237,2,52.9,2,23.4,2,0,2,1.62,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,-999,9,2.0068
  316N19831007, A13.5,31,1,46,2,19831021,0,-22.992,1.438,4950,4516,2.397,34.887,2,235,2,53.4,2,23.4,2,0,2,1.62,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,-999,9,1.9909
  316N19831007, A13.5,31,1,47,2,19831021,0,-22.992,1.438,4950,4719,2.412,34.885,2,236,2,53.4,2,23.4,2,0,2,1.62,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,-999,9,1.9807
  316N19831007, A13.5,31,1,48,2,19831021,0,-22.992,1.438,4950,5022,2.442,34.885,2,236,2,53.6,2,23.4,2,0,2,1.62,2,-0.002,2,0,2,-999,9,-999,9,-999,9,-999,-999,-999,9,1.9717
  316N19831007, A13.5,32,1,25,2,19831022,0,-23.99,1.502,5077,1,18.467,35.842,2,238,2,-999,9,-999,9,-999,9,-999,9,1.804,2,0.911,2,-999,9,-999,9,-999,9,-999,-999,-999,9,18.4668
  316N19831007, A13.5,32,2,10,2,19831022,0,-23.99,1.502,5077,2,18.47,35.843,2,237,2,1.2,2,0,2,0,2,0.28,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,-999,9,18.4696
  316N19831007, A13.5,32,2,11,2,19831022,0,-23.99,1.502,5077,73,18.463,35.843,2,237,2,1.1,2,0,2,0,2,0.27,2,1.79,2,0.916,2,-999,9,-999,9,-999,9,-999,-999,-999,9,18.4502
  316N19831007, A13.5,32,2,12,2,19831022,0,-23.99,1.502,5077,108,17.955,35.774,2,231,2,1.7,2,0.3,2,0.23,2,0.25,2,1.793,2,0.908,2,-999,9,-999,9,-999,9,-999,-999,-999,9,17.9364
  316N19831007, A13.5,32,2,13,2,19831022,0,-23.99,1.502,5077,138,16.461,35.569,2,218,2,2.2,2,3.8,2,0.09,2,0.42,2,1.766,2,0.886,2,-999,9,-999,9,-999,9,-999,-999,-999,9,16.4387
  316N19831007, A13.5,32,2,14,2,19831022,0,-23.99,1.502,5077,167,15.251,35.4,2,215,2,3,2,6,2,0.02,2,0.52,2,1.771,2,0.865,2,-999,9,-999,9,-999,9,-999,-999,-999,9,15.2254
  316N19831007, A13.5,32,2,14,2,19831022,0,-23.99,1.502,5077,167,15.251,35.4,2,215,2,3,2,6,2,0.02,2,0.52,2,1.793,2,0.895,2,-999,9,-999,9,-999,9,-999,-999,-999,9,15.2254
  316N19831007, A13.5,32,2,15,2,19831022,0,-23.99,1.502,5077,197,14.466,35.303,2,210,2,3.4,2,7.8,2,0.01,2,0.63,2,1.721,2,0.871,2,-999,9,-999,9,-999,9,-999,-999,-999,9,14.4368
  316N19831007, A13.5,32,2,16,2,19831022,0,-23.99,1.502,5077,236,13.433,35.173,2,206,2,3.7,2,9.8,2,0.01,2,0.74,2,1.632,2,0.808,2,-999,9,-999,9,-999,9,-999,-999,-999,9,13.3997
  316N19831007, A13.5,32,2,16,2,19831022,0,-23.99,1.502,5077,236,13.433,35.173,2,206,2,3.7,2,9.8,2,0.01,2,0.74,2,1.636,2,0.804,2,-999,9,-999,9,-999,9,-999,-999,-999,9,13.3997
  316N19831007, A13.5,32,2,17,2,19831022,0,-23.99,1.502,5077,277,12.547,35.088,2,204,2,4.7,2,12,2,0,2,0.86,2,1.429,2,0.706,2,-999,9,-999,9,-999,9,-999,-999,-999,9,12.5096
  316N19831007, A13.5,32,2,53,2,19831022,0,-23.99,1.502,5077,316,11.695,35.007,2,195,2,5.9,2,14.8,2,0,2,1.03,2,1.192,2,0.599,2,-999,9,-999,9,-999,9,-999,-999,-999,9,11.6542
  316N19831007, A13.5,32,2,53,2,19831022,0,-23.99,1.502,5077,316,11.695,35.007,2,195,2,5.9,2,14.8,2,0,2,1.03,2,1.201,2,0.605,2,-999,9,-999,9,-999,9,-999,-999,-999,9,11.6542
  316N19831007, A13.5,32,2,19,2,19831022,0,-23.99,1.502,5077,357,10.747,34.899,2,183,2,7.5,2,18.1,2,0,2,1.21,2,0.977,2,0.491,2,-999,9,-999,9,-999,9,-999,-999,-999,9,10.7034
  316N19831007, A13.5,32,2,19,2,19831022,0,-23.99,1.502,5077,357,10.747,34.899,2,183,2,7.5,2,18.1,2,0,2,1.21,2,1.019,2,0.512,2,-999,9,-999,9,-999,9,-999,-999,-999,9,10.7034
  316N19831007, A13.5,32,2,20,2,19831022,0,-23.99,1.502,5077,406,9.901,34.804,2,175,2,9.9,2,20.9,2,0,2,1.4,2,0.797,2,0.418,2,-999,9,-999,9,-999,9,-999,-999,-999,9,9.8538
  316N19831007, A13.5,32,2,20,2,19831022,0,-23.99,1.502,5077,406,9.901,34.804,2,175,2,9.9,2,20.9,2,0,2,1.4,2,0.798,2,0.415,2,-999,9,-999,9,-999,9,-999,-999,-999,9,9.8538
  316N19831007, A13.5,32,2,21,2,19831022,0,-23.99,1.502,5077,457,9.038,34.718,2,165,2,12.3,2,24,2,0,2,1.59,2,0.676,2,0.333,2,-999,9,-999,9,-999,9,-999,-999,-999,9,8.9877
  316N19831007, A13.5,32,2,22,2,19831022,0,-23.99,1.502,5077,516,7.63,34.579,2,172,2,15.3,2,26.6,2,0,2,1.76,2,0.497,2,0.266,2,-999,9,-999,9,-999,9,-999,-999,-999,9,7.5784
  316N19831007, A13.5,32,2,23,2,19831022,0,-23.99,1.502,5077,576,6.333,34.456,2,192,2,17.8,2,28,2,0,2,1.84,2,0.44,2,0.252,2,-999,9,-999,9,-999,9,-999,-999,-999,9,6.2809
  316N19831007, A13.5,32,2,23,2,19831022,0,-23.99,1.502,5077,576,6.333,34.456,2,192,2,17.8,2,28,2,0,2,1.84,2,0.442,2,0.237,2,-999,9,-999,9,-999,9,-999,-999,-999,9,6.2809
  316N19831007, A13.5,32,1,36,2,19831022,0,-23.99,1.502,5077,652,5.329,34.387,2,193,2,22,2,30.2,2,0,2,1.99,2,0.334,2,0.191,2,-999,9,-999,9,-999,9,-999,-999,-999,9,5.2748
  316N19831007, A13.5,32,2,24,2,19831022,0,-23.99,1.502,5077,715,4.607,34.363,2,193,2,27.6,2,31.7,2,0,2,2.09,2,0.231,2,0.127,2,-999,9,-999,9,-999,9,-999,-999,-999,9,4.5512
  316N19831007, A13.5,32,1,37,2,19831022,0,-23.99,1.502,5077,801,4.144,34.393,2,179,2,34.5,2,33.1,2,0,2,2.22,2,0.092,2,-999,9,-999,9,-999,9,-999,9,-999,-999,-999,9,4.0838
  316N19831007, A13.5,32,1,28,2,19831022,0,-23.99,1.502,5077,902,3.813,34.442,2,176,2,39.9,2,33.5,2,0,2,2.25,2,0.029,2,0.017,2,-999,9,-999,9,-999,9,-999,-999,-999,9,3.7468
  316N19831007, A13.5,32,1,29,2,19831022,0,-23.99,1.502,5077,1052,3.581,34.541,2,175,2,43.4,2,32.9,2,0,2,2.19,2,0.03,2,0.01,2,-999,9,-999,9,-999,9,-999,-999,-999,9,3.5043
  316N19831007, A13.5,32,1,29,2,19831022,0,-23.99,1.502,5077,1052,3.581,34.541,2,175,2,43.4,2,32.9,2,0,2,2.19,2,0.035,2,0.006,2,-999,9,-999,9,-999,9,-999,-999,-999,9,3.5043
  316N19831007, A13.5,32,1,30,2,19831022,0,-23.99,1.502,5077,1204,3.479,34.628,2,181,2,43.5,2,31.3,2,0,2,2.1,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,-999,9,3.3906
  316N19831007, A13.5,32,1,31,2,19831022,0,-23.99,1.502,5077,1356,3.47,34.722,2,194,2,39.7,2,29,2,0,2,1.95,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,-999,9,3.3688
  316N19831007, A13.5,32,1,32,2,19831022,0,-23.99,1.502,5077,1508,3.374,34.784,2,207,2,37.7,2,27,2,0,2,1.8,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,-999,9,3.2607
  316N19831007, A13.5,32,1,33,2,19831022,0,-23.99,1.502,5077,1709,3.265,34.842,2,222,2,35.4,2,24.7,2,0,2,1.65,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,-999,9,3.1352
  316N19831007, A13.5,32,1,34,2,19831022,0,-23.99,1.502,5077,1912,3.122,34.87,2,232,2,35.1,2,23.6,2,0,2,1.56,2,-0.002,2,-0.002,2,-999,9,-999,9,-999,9,-999,-999,-999,9,2.9759
  316N19831007, A13.5,32,1,35,2,19831022,0,-23.99,1.502,5077,2114,2.958,34.879,2,237,2,36.9,2,23.1,2,0,2,1.53,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,-999,9,2.7958
  316N19831007, A13.5,32,1,26,2,19831022,0,-23.99,1.502,5077,2316,2.774,34.875,2,238,2,40.9,2,23.2,2,0,2,1.55,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,-999,9,2.596
  316N19831007, A13.5,32,1,27,2,19831022,0,-23.99,1.502,5077,2518,2.596,34.869,2,240,2,44.9,2,23.3,2,0,2,1.56,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,-999,9,2.402
  316N19831007, A13.5,32,1,38,2,19831022,0,-23.99,1.502,5077,2720,2.517,34.871,2,241,2,46.4,2,23.3,2,0,2,1.56,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,-999,9,2.305
  316N19831007, A13.5,32,1,39,2,19831022,0,-23.99,1.502,5077,2923,2.461,34.872,2,241,2,47.7,2,23.3,2,0,2,1.56,2,0.002,2,0.006,2,-999,9,-999,9,-999,9,-999,-999,-999,9,2.23
  316N19831007, A13.5,32,1,40,2,19831022,0,-23.99,1.502,5077,3119,2.421,34.877,2,240,2,48.9,2,23.3,2,0,2,1.56,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,-999,9,2.1709
  316N19831007, A13.5,32,1,41,2,19831022,0,-23.99,1.502,5077,3319,2.402,34.88,2,238,2,49.9,2,23.3,2,0,2,1.57,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,-999,9,2.1314
  316N19831007, A13.5,32,1,42,2,19831022,0,-23.99,1.502,5077,3520,2.388,34.883,2,235,2,50.9,2,23.4,2,0,2,1.57,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,-999,9,2.0963
  316N19831007, A13.5,32,1,43,2,19831022,0,-23.99,1.502,5077,3719,2.381,34.885,2,236,2,51.3,2,23.5,2,0,2,1.57,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,-999,9,2.0677
  316N19831007, A13.5,32,1,44,2,19831022,0,-23.99,1.502,5077,3917,2.374,34.885,2,235,2,51.7,2,23.5,2,0,2,1.56,2,-0.002,2,0.011,2,-999,9,-999,9,-999,9,-999,-999,-999,9,2.0387
  316N19831007, A13.5,32,1,45,2,19831022,0,-23.99,1.502,5077,4175,2.383,34.885,2,234,2,52.1,2,23.4,2,0,2,1.56,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,-999,9,2.0178
  316N19831007, A13.5,32,1,46,2,19831022,0,-23.99,1.502,5077,4431,2.399,34.884,2,235,2,52.5,2,23.5,2,0,2,1.56,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,-999,9,2.0031
  316N19831007, A13.5,32,1,47,2,19831022,0,-23.99,1.502,5077,4785,2.431,34.883,2,235,2,52.6,2,23.4,2,0,2,1.56,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,-999,9,1.9909
  316N19831007, A13.5,32,1,48,2,19831022,0,-23.99,1.502,5077,5156,2.471,34.882,2,234,2,52.7,2,23.5,2,0,2,1.57,2,-0.001,2,0.006,2,-999,9,-999,9,-999,9,-999,-999,-999,9,1.9826
  316N19831007, A13.5,33,1,25,2,19831022,0,-25,1.558,4476,2,18.57,35.9,2,237,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,-999,9,18.5696
  316N19831007, A13.5,33,2,12,2,19831022,0,-25,1.558,4476,3,18.548,35.902,2,237,2,1.6,2,0,2,0,2,0.29,2,-999,9,-999,9,2042.1,2,2355.9,2,334,2,20,-999,-999,9,18.5475
  316N19831007, A13.5,33,2,13,2,19831022,0,-25,1.558,4476,18,18.526,35.898,2,238,2,1.4,2,0,2,0,2,0.29,2,-999,9,-999,9,2038.1,2,2351,2,334,2,20,-999,-999,9,18.5228
  316N19831007, A13.5,33,2,14,2,19831022,0,-25,1.558,4476,31,18.465,35.894,2,238,2,1.4,2,0,2,0,2,0.29,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,-999,9,18.4596
  316N19831007, A13.5,33,2,15,2,19831022,0,-25,1.558,4476,61,18.218,35.864,2,239,2,1.5,2,0,2,0,2,0.29,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,-999,9,18.2074
  316N19831007, A13.5,33,2,16,2,19831022,0,-25,1.558,4476,90,17.989,35.847,2,238,2,1.7,2,0.1,2,0.01,2,0.27,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,-999,9,17.9735
  316N19831007, A13.5,33,2,17,2,19831022,0,-25,1.558,4476,111,17.831,35.826,2,239,2,1.9,2,0.1,2,0.01,2,0.27,2,-999,9,-999,9,2040.1,2,2349.5,2,338,2,20,-999,-999,9,17.812
  316N19831007, A13.5,33,2,53,2,19831022,0,-25,1.558,4476,141,17.402,35.756,2,233,2,2.1,2,0.7,2,0.23,2,0.32,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,-999,9,17.3783
  316N19831007, A13.5,33,2,19,2,19831022,0,-25,1.558,4476,160,16.052,35.529,2,220,2,2.8,2,4.1,2,0.05,2,0.5,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,-999,9,16.0265
  316N19831007, A13.5,33,2,20,2,19831022,0,-25,1.558,4476,200,14.786,35.353,2,218,2,3.5,2,6.3,2,0.01,2,0.63,2,-999,9,-999,9,2065.1,2,2316.9,2,433,2,20,-999,-999,9,14.7559
  316N19831007, A13.5,33,2,21,2,19831022,0,-25,1.558,4476,269,12.891,35.12,2,209,2,4.7,2,10.7,2,0.01,2,0.88,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,-999,9,12.8541
  316N19831007, A13.5,33,2,22,2,19831022,0,-25,1.558,4476,340,11.34,34.963,2,195,2,8,2,15.5,2,0.01,2,1.17,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,-999,9,11.297
  316N19831007, A13.5,33,2,23,2,19831022,0,-25,1.558,4476,440,9.419,34.756,2,218,2,10.9,2,21,2,0.01,2,1.52,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,-999,9,9.3693
  316N19831007, A13.5,33,1,36,2,19831022,0,-25,1.558,4476,544,7.383,34.561,2,167,2,17.2,2,27.7,2,0,2,1.94,2,-999,9,-999,9,2164,2,2283.6,2,918,2,20,-999,-999,9,7.3296
  316N19831007, A13.5,33,2,24,2,19831022,0,-25,1.558,4476,619,5.829,34.429,2,185,2,20.9,2,29.8,2,0,2,2.06,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,-999,9,5.7753
  316N19831007, A13.5,33,1,37,2,19831022,0,-25,1.558,4476,705,4.882,34.374,2,191,2,25.7,2,31.3,2,0,2,2.17,2,-999,9,-999,9,2175,2,2283.8,2,990,2,20,-999,-999,9,4.8256
  316N19831007, A13.5,33,1,28,2,19831022,0,-25,1.558,4476,805,4.374,34.404,2,168,2,33.2,2,34.1,2,0,2,2.36,2,-999,9,-999,9,2203.9,2,2295.5,2,1131,2,20,-999,-999,9,4.3121
  316N19831007, A13.5,33,1,29,2,19831022,0,-25,1.558,4476,906,3.832,34.417,2,180,2,40,2,33.6,2,0,2,2.35,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,-999,9,3.7654
  316N19831007, A13.5,33,1,30,2,19831022,0,-25,1.558,4476,1007,3.511,34.482,2,179,2,45.5,2,33.3,2,0,2,2.35,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,-999,9,3.4386
  316N19831007, A13.5,33,1,31,2,19831022,0,-25,1.558,4476,1108,3.388,34.545,2,180,2,47.4,2,32.7,2,0,2,2.29,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,-999,9,3.3084
  316N19831007, A13.5,33,1,32,2,19831022,0,-25,1.558,4476,1259,3.368,34.647,2,186,2,45.4,2,30.9,2,0,2,2.15,2,-999,9,-999,9,2204.9,2,2312.1,2,1028,2,20,-999,-999,9,3.2761
  316N19831007, A13.5,33,1,33,2,19831022,0,-25,1.558,4476,1409,3.347,34.747,2,200,2,41.2,2,28.3,2,0,2,1.97,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,-999,9,3.2425
  316N19831007, A13.5,33,1,34,2,19831022,0,-25,1.558,4476,1611,3.25,34.817,2,214,2,38.4,2,26,2,0,2,1.81,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,-999,9,3.1291
  316N19831007, A13.5,33,1,35,2,19831022,0,-25,1.558,4476,1813,3.151,34.854,2,226,2,37,2,24.5,2,0,2,1.72,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,-999,9,3.0134
  316N19831007, A13.5,33,1,26,2,19831022,0,-25,1.558,4476,2014,2.955,34.872,2,234,2,38.6,2,23.7,2,0,2,1.65,2,-999,9,-999,9,2176.9,2,2320.1,2,813,2,20,-999,-999,9,2.802
  316N19831007, A13.5,33,1,27,2,19831022,0,-25,1.558,4476,2216,2.762,34.87,2,235,2,42.4,2,23.7,2,0,2,1.66,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,-999,9,2.5936
  316N19831007, A13.5,33,1,38,2,19831022,0,-25,1.558,4476,2418,2.589,34.869,2,239,2,45.4,2,23.6,2,0,2,1.65,2,-999,9,-999,9,2184.9,2,2330.8,2,805,2,20,-999,-999,9,2.4047
  316N19831007, A13.5,33,1,39,2,19831022,0,-25,1.558,4476,2622,2.51,34.871,2,240,2,46.8,2,23.5,2,0,2,1.64,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,-999,9,2.3076
  316N19831007, A13.5,33,1,40,2,19831022,0,-25,1.558,4476,2824,2.428,34.874,2,241,2,48.7,2,23.5,2,0,2,1.64,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,-999,9,2.2075
  316N19831007, A13.5,33,1,41,2,19831022,0,-25,1.558,4476,3027,2.411,34.878,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,-999,9,2.1705
  316N19831007, A13.5,33,1,42,2,19831022,0,-25,1.558,4476,3230,2.394,34.88,2,238,2,50.4,2,23.5,2,0,2,1.63,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,-999,9,2.133
  316N19831007, A13.5,33,1,43,2,19831022,0,-25,1.558,4476,3433,2.361,34.883,2,237,2,51.4,2,23.5,2,0,2,1.64,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,-999,9,2.0793
  316N19831007, A13.5,33,1,44,2,19831022,0,-25,1.558,4476,3636,2.362,34.886,2,236,2,51.7,2,23.5,2,0,2,1.63,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,-999,9,2.0583
  316N19831007, A13.5,33,1,45,2,19831022,0,-25,1.558,4476,3841,2.362,34.887,2,235,2,52.2,2,23.5,2,0,2,1.64,2,-999,9,-999,9,2198.9,2,2350.2,2,790,2,20,-999,-999,9,2.0356
  316N19831007, A13.5,33,1,46,2,19831022,0,-25,1.558,4476,4043,2.367,34.886,2,235,2,52.7,2,23.5,2,0,2,1.63,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,-999,9,2.0176
  316N19831007, A13.5,33,1,47,2,19831022,0,-25,1.558,4476,4309,2.387,34.886,2,235,2,52.6,2,23.5,2,0,2,1.62,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,-999,9,2.006
  316N19831007, A13.5,33,1,48,2,19831022,0,-25,1.558,4476,4562,2.409,34.885,2,235,2,52.7,2,23.5,2,-999,9,1.61,2,-999,9,-999,9,2208.9,2,2362.8,2,784,2,20,-999,-999,9,1.997
  316N19831007, A13.5,34,2,12,2,19831023,0,-25.992,1.627,4856,2,18.001,35.803,2,242,2,2.1,2,0.1,2,0,2,0.3,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,-999,9,18.0007
  316N19831007, A13.5,34,1,25,2,19831023,0,-25.992,1.627,4856,2,18.017,35.801,2,240,2,-999,9,-999,9,-999,9,-999,9,1.814,2,0.913,2,-999,9,-999,9,-999,9,-999,-999,-999,9,18.0167
  316N19831007, A13.5,34,2,13,2,19831023,0,-25.992,1.627,4856,44,17.249,35.628,2,244,2,2,2,0,2,0.01,2,0.28,2,1.842,2,0.934,2,-999,9,-999,9,-999,9,-999,-999,-999,9,17.2417
  316N19831007, A13.5,34,2,14,2,19831023,0,-25.992,1.627,4856,89,17.172,35.672,2,240,2,2.2,2,0.3,2,0.13,2,0.31,2,1.858,2,0.963,2,-999,9,-999,9,-999,9,-999,-999,-999,9,17.1572
  316N19831007, A13.5,34,2,15,2,19831023,0,-25.992,1.627,4856,119,16.41,35.566,2,230,2,2.7,2,2.3,2,0.13,2,0.4,2,1.831,2,0.918,2,-999,9,-999,9,-999,9,-999,-999,-999,9,16.3908
  316N19831007, A13.5,34,2,16,2,19831023,0,-25.992,1.627,4856,148,14.962,35.366,2,211,2,3.6,2,6.5,2,0.02,2,0.65,2,1.77,2,0.922,2,-999,9,-999,9,-999,9,-999,-999,-999,9,14.9396
  316N19831007, A13.5,34,2,17,2,19831023,0,-25.992,1.627,4856,178,14.328,35.287,2,211,2,3.9,2,7.7,2,0.01,2,0.73,2,1.704,2,0.85,2,-999,9,-999,9,-999,9,-999,-999,-999,9,14.3018
  316N19831007, A13.5,34,2,53,2,19831023,0,-25.992,1.627,4856,208,13.324,35.159,2,210,2,4.3,2,9.4,2,0.01,2,0.86,2,1.669,2,0.839,2,-999,9,-999,9,-999,9,-999,-999,-999,9,13.2949
  316N19831007, A13.5,34,2,53,2,19831023,0,-25.992,1.627,4856,208,13.324,35.159,2,210,2,4.3,2,9.4,2,0.01,2,0.86,2,1.67,2,0.824,2,-999,9,-999,9,-999,9,-999,-999,-999,9,13.2949
  316N19831007, A13.5,34,2,19,2,19831023,0,-25.992,1.627,4856,247,12.541,35.079,2,209,2,5.1,2,11.5,2,0.01,2,0.96,2,1.478,2,0.759,2,-999,9,-999,9,-999,9,-999,-999,-999,9,12.5077
  316N19831007, A13.5,34,2,20,2,19831023,0,-25.992,1.627,4856,288,11.69,34.996,2,197,2,6.5,2,14.7,2,0.01,2,1.17,2,1.211,2,0.614,2,-999,9,-999,9,-999,9,-999,-999,-999,9,11.6529
  316N19831007, A13.5,34,2,20,2,19831023,0,-25.992,1.627,4856,288,11.69,34.996,2,197,2,6.5,2,14.7,2,0.01,2,1.17,2,1.232,2,0.608,2,-999,9,-999,9,-999,9,-999,-999,-999,9,11.6529
  316N19831007, A13.5,34,2,21,2,19831023,0,-25.992,1.627,4856,338,10.828,34.902,2,193,2,7.8,2,16.9,2,0,2,1.31,2,1.089,2,0.558,2,-999,9,-999,9,-999,9,-999,-999,-999,9,10.7865
  316N19831007, A13.5,34,2,22,2,19831023,0,-25.992,1.627,4856,394,9.803,34.791,2,187,2,9.8,2,19.8,2,0,2,1.49,2,0.854,2,0.437,2,-999,9,-999,9,-999,9,-999,-999,-999,9,9.7575
  316N19831007, A13.5,34,2,22,2,19831023,0,-25.992,1.627,4856,394,9.803,34.791,2,187,2,9.8,2,19.8,2,0,2,1.49,2,0.856,2,0.445,2,-999,9,-999,9,-999,9,-999,-999,-999,9,9.7575
  316N19831007, A13.5,34,2,23,2,19831023,0,-25.992,1.627,4856,474,8.391,34.65,2,173,2,14.4,2,24.7,2,0,2,1.77,2,0.613,2,0.338,2,-999,9,-999,9,-999,9,-999,-999,-999,9,8.341
  316N19831007, A13.5,34,1,36,2,19831023,0,-25.992,1.627,4856,541,6.884,34.517,2,172,2,18.4,2,28.6,2,0,2,2.01,2,0.429,2,0.233,2,-999,9,-999,9,-999,9,-999,-999,-999,9,6.8329
  316N19831007, A13.5,34,1,36,2,19831023,0,-25.992,1.627,4856,541,6.884,34.517,2,172,2,18.4,2,28.6,2,0,2,2.01,2,0.43,2,0.234,2,-999,9,-999,9,-999,9,-999,-999,-999,9,6.8329
  316N19831007, A13.5,34,2,24,2,19831023,0,-25.992,1.627,4856,593,5.909,34.419,2,197,2,19.8,2,28.6,2,0,2,2.04,2,0.462,2,0.255,2,-999,9,-999,9,-999,9,-999,-999,-999,9,5.8573
  316N19831007, A13.5,34,2,24,2,19831023,0,-25.992,1.627,4856,593,5.909,34.419,2,197,2,19.8,2,28.6,2,0,2,2.04,2,0.47,2,0.252,2,-999,9,-999,9,-999,9,-999,-999,-999,9,5.8573
  316N19831007, A13.5,34,1,37,2,19831023,0,-25.992,1.627,4856,685,4.741,34.358,2,197,2,26.4,2,31.1,2,0,2,2.18,2,0.321,2,0.179,2,-999,9,-999,9,-999,9,-999,-999,-999,9,4.687
  316N19831007, A13.5,34,1,28,2,19831023,0,-25.992,1.627,4856,775,4.097,34.361,2,196,2,33.2,2,32.2,2,0,2,2.29,2,0.212,2,0.12,2,-999,9,-999,9,-999,9,-999,-999,-999,9,4.0393
  316N19831007, A13.5,34,1,29,2,19831023,0,-25.992,1.627,4856,862,3.719,34.406,2,187,2,40.6,2,33.3,2,0,2,2.37,2,0.086,2,0.052,2,-999,9,-999,9,-999,9,-999,-999,-999,9,3.6567
  316N19831007, A13.5,34,1,30,2,19831023,0,-25.992,1.627,4856,955,3.546,34.457,2,180,2,44.5,2,33.5,2,0,2,2.39,2,0.039,2,0.023,2,-999,9,-999,9,-999,9,-999,-999,-999,9,3.4775
  316N19831007, A13.5,34,1,31,2,19831023,0,-25.992,1.627,4856,1051,3.419,34.52,2,180,2,47.1,2,33,2,0,2,2.35,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,-999,9,3.3438
  316N19831007, A13.5,34,1,32,2,19831023,0,-25.992,1.627,4856,1188,3.382,34.612,2,185,2,45.7,2,31.6,2,0,2,2.23,2,0.003,2,0.002,2,-999,9,-999,9,-999,9,-999,-999,-999,9,3.2959
  316N19831007, A13.5,34,1,33,2,19831023,0,-25.992,1.627,4856,1383,3.371,34.726,2,197,2,41.8,2,28.9,2,0,2,2.05,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,-999,9,3.2685
