EXPOCODE,SECT_ID,STNNBR,CASTNO,BTLNBR,BTLNBR_FLAG_W,DATE,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,TCARBN,TCARBN_FLAG_W,PCO2,PCO2_FLAG_W,PH_SWS,PH_TEMP,PH_SWS_FLAG_W,CHLORA,CHLORA_FLAG_W,PHAEO,PHAEO_FLAG_W,THETA
,,,,,,,,,METERS,DBARS,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,UMOL/KG,,PPM,,,DEGC,,UG/L,,UG/L,,DEGC
  35LU19950909, AR04g,     2,  1,      3,2,19950910,  5.8355, -51.4142,   30,    198.8,  15.6163,  35.8158,2,  35.8972,2,    139.4,2,    133.2,2,     6.76,2,    15.95,2,     0.04,2,     1.02,2, -999.000,9, -999.000,9,   2170.9,2,   -999.0,9,   7.8386,    25.00,2,  -999.00,9,  -999.00,9,  15.5851
  35LU19950909, AR04g,     2,  1,      1,2,19950910,  5.8355, -51.4142,   30,    250.9,  15.3278,  35.7928,2,  35.8024,2,    128.3,2,    130.2,2,     7.35,2,    16.80,2,     0.04,2,     1.08,2, -999.000,9, -999.000,9,   2164.9,3,   -999.0,9,   7.8166,    25.00,2,  -999.00,9,  -999.00,9,  15.2889
  35LU19950909, AR04g,     2,  1,      2,2,19950910,  5.8355, -51.4142,   30,    250.9,  15.3278,  35.7928,2,  35.8019,2,    128.3,2,    130.0,2,     7.33,2,    16.79,2,     0.04,2,     1.07,2, -999.000,9, -999.000,9,   2182.8,2,   -999.0,9,   7.8264,    25.00,2,  -999.00,9,  -999.00,9,  15.2889
  35LU19950909, AR04g,     3,  1,     13,2,19950910,  5.8495, -51.4060,   15,      0.5,  28.2891,  32.8106,2,  32.7258,2,    204.5,2,    208.1,2,     7.85,2,     0.02,2,     0.00,2,     0.02,2, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,-999.0000,  -999.00,9,  -999.00,9,  -999.00,9,  28.2890
  35LU19950909, AR04g,     3,  1,     11,2,19950910,  5.8495, -51.4060,   15,     22.9,  27.4542,  36.1734,2,  36.1767,2,    199.6,2,    211.8,4,     0.86,2,     0.02,2,     0.00,2,     0.06,2, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,-999.0000,  -999.00,9,  -999.00,9,  -999.00,9,  27.4489
  35LU19950909, AR04g,     3,  1,     12,2,19950910,  5.8495, -51.4060,   15,     24.1,  27.4566,  36.1700,2,  36.1785,2,    199.2,2,    199.1,2,     0.92,2,     0.02,2,     0.00,2,     0.06,2, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,-999.0000,  -999.00,9,  -999.00,9,  -999.00,9,  27.4510
  35LU19950909, AR04g,     3,  1,     10,2,19950910,  5.8495, -51.4060,   15,     50.0,  26.8508,  36.2351,2,  36.2273,2,    200.9,2,    199.9,2,     0.54,2,     0.01,2,     0.00,2,     0.08,2, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,-999.0000,  -999.00,9,  -999.00,9,  -999.00,9,  26.8393
  35LU19950909, AR04g,     3,  1,      9,2,19950910,  5.8495, -51.4060,   15,     74.6,  26.4416,  36.2845,2,  36.2901,2,    198.4,2,    196.5,2,     0.52,2,     0.10,2,     0.23,2,     0.10,2, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,-999.0000,  -999.00,9,  -999.00,9,  -999.00,9,  26.4247
  35LU19950909, AR04g,     3,  1,      8,2,19950910,  5.8495, -51.4060,   15,    100.2,  26.0938,  36.3116,2,  36.3136,2,    194.3,2,    206.1,3,     0.62,2,     0.61,2,     0.23,2,     0.13,2, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,-999.0000,  -999.00,9,  -999.00,9,  -999.00,9,  26.0713
  35LU19950909, AR04g,     3,  1,      7,2,19950910,  5.8495, -51.4060,   15,    147.5,  25.5500,  36.2932,2,  36.2880,2,    192.4,2,    199.1,2,     1.02,2,     1.22,2,     0.21,2,     0.18,2, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,-999.0000,  -999.00,9,  -999.00,9,  -999.00,9,  25.5173
  35LU19950909, AR04g,     3,  1,      6,2,19950910,  5.8495, -51.4060,   15,    197.9,  15.5071,  35.8166,2,  35.8236,2,    140.2,2,    130.6,2,     6.95,2,    16.73,2,     0.02,2,     1.06,2, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,-999.0000,  -999.00,9,  -999.00,9,  -999.00,9,  15.4762
  35LU19950909, AR04g,     3,  1,      5,2,19950910,  5.8495, -51.4060,   15,    248.2,  14.7551,  35.7074,2,  35.6682,2,    129.3,2,    126.5,2,     8.45,2,    18.92,2,     0.03,2,     1.21,2, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,-999.0000,  -999.00,9,  -999.00,9,  -999.00,9,  14.7177
  35LU19950909, AR04g,     3,  1,      4,2,19950910,  5.8495, -51.4060,   15,    299.8,  10.9539,  35.0794,2,  35.0527,2,    135.6,2,    136.6,2,    13.13,2,    24.62,2,     0.02,2,     1.65,2, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,-999.0000,  -999.00,9,  -999.00,9,  -999.00,9,  10.9168
  35LU19950909, AR04g,     3,  1,      3,2,19950910,  5.8495, -51.4060,   15,    399.9,   7.1630,  34.6358,2,  34.6422,2,    141.1,2,    141.9,2,    20.85,2,    31.67,2,     0.02,2,     2.10,2, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,-999.0000,  -999.00,9,  -999.00,9,  -999.00,9,   7.1247
  35LU19950909, AR04g,     3,  1,      2,2,19950910,  5.8495, -51.4060,   15,    500.8,   6.5147,  34.6172,2,  34.6211,2,    131.0,2,    130.8,2,    24.17,2,    34.28,2,     0.01,2,     2.28,2, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,-999.0000,  -999.00,9,  -999.00,9,  -999.00,9,   6.4689
  35LU19950909, AR04g,     3,  1,      1,2,19950910,  5.8495, -51.4060,   15,    581.3,   5.9802,  34.5900,2,  34.5924,2,    131.8,2,    131.2,2,    26.86,2,    35.20,2,     0.01,2,     2.34,2, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,-999.0000,  -999.00,9,  -999.00,9,  -999.00,9,   5.9291
  35LU19950909, AR04g,     4,  1,     14,2,19950910,  5.8748, -51.3805,   20,      1.3,  28.0661,  34.3019,2,  34.0151,2,    207.0,2,    203.9,2,     5.19,2,     0.32,2,     0.00,2,     0.03,2, -999.000,9, -999.000,9,   1889.4,2,   -999.0,9,   8.1562,    25.00,2,     0.07,2,     0.05,2,  28.0658
  35LU19950909, AR04g,     4,  1,     13,2,19950910,  5.8748, -51.3805,   20,     23.6,  27.3604,  36.1527,2,  36.1460,2,    203.8,2,    200.3,2,     1.02,2,     0.37,2,     0.00,2,     0.04,2, -999.000,9, -999.000,9,   2008.0,2,   -999.0,9,   8.1061,    25.00,2,  -999.00,9,  -999.00,9,  27.3549
  35LU19950909, AR04g,     4,  1,     12,2,19950910,  5.8748, -51.3805,   20,     49.6,  26.7275,  36.2090,2,  36.2618,2,    199.6,2,    198.7,2,     0.64,2,     0.30,2,     0.10,2,     0.08,2, -999.000,9, -999.000,9,   2044.6,2,   -999.0,9,   8.0976,    25.00,2,  -999.00,9,  -999.00,9,  26.7162
  35LU19950909, AR04g,     4,  1,     11,2,19950910,  5.8748, -51.3805,   20,     73.5,  26.3673,  36.3041,2,  36.3090,2,    192.6,2,    194.7,2,     0.66,2,     0.45,2,     0.29,2,     0.09,2, -999.000,9, -999.000,9,   2050.8,2,   -999.0,9,   8.0830,    25.00,2,  -999.00,9,  -999.00,9,  26.3507
  35LU19950909, AR04g,     4,  1,     10,2,19950910,  5.8748, -51.3805,   20,    124.0,  25.7330,  36.3184,2,  36.3120,2,    190.5,2,    191.0,2,     0.87,2,     1.19,2,     0.20,2,     0.15,2, -999.000,9, -999.000,9,   2059.3,2,   -999.0,9,   8.0753,    25.00,2,  -999.00,9,  -999.00,9,  25.7054
  35LU19950909, AR04g,     4,  1,      9,2,19950910,  5.8748, -51.3805,   20,    172.5,  15.3930,  35.7465,2,  35.7926,2,    149.1,2,    133.3,2,     6.97,2,    16.05,2,     0.02,2,     1.04,2, -999.000,9, -999.000,9,   2159.1,2,   -999.0,9,   7.8246,    25.00,2,  -999.00,9,  -999.00,9,  15.3663
  35LU19950909, AR04g,     4,  1,      8,2,19950910,  5.8748, -51.3805,   20,    247.9,  14.3716,  35.6428,2,  35.5639,2,    127.0,2,    125.3,2,     8.83,2,    19.50,2,     0.01,2,     1.26,2, -999.000,9, -999.000,9,   2183.7,2,   -999.0,9,   7.7831,    25.00,2,  -999.00,9,  -999.00,9,  14.3349
  35LU19950909, AR04g,     4,  1,      7,2,19950910,  5.8748, -51.3805,   20,    299.4,  10.9548,  35.0882,2,  35.0618,2,    136.2,2,    136.0,2,    12.28,2,    23.85,2,     0.01,2,     1.59,2, -999.000,9, -999.000,9,   2187.3,2,   -999.0,9,   7.7254,    25.00,2,  -999.00,9,  -999.00,9,  10.9178
  35LU19950909, AR04g,     4,  1,      6,2,19950910,  5.8748, -51.3805,   20,    399.6,   6.7800,  34.5849,2,  34.5875,2,    153.9,2,    152.5,2,    21.12,2,    30.97,2,     0.00,2,     2.07,2, -999.000,9, -999.000,9,   2207.3,2,   -999.0,9,   7.6403,    25.00,2,  -999.00,9,  -999.00,9,   6.7429
  35LU19950909, AR04g,     4,  1,      5,2,19950910,  5.8748, -51.3805,   20,    497.9,   6.2385,  34.5974,2,  34.5648,2,    140.4,2,    141.6,2,    24.60,2,    33.45,2,     0.00,2,     2.24,2, -999.000,9, -999.000,9,   2240.7,3,   -999.0,9,   7.5991,    25.00,2,  -999.00,9,  -999.00,9,   6.1940
  35LU19950909, AR04g,     4,  1,      3,2,19950910,  5.8748, -51.3805,   20,    597.5,   5.7551,  34.5910,2,  34.5947,2,    131.6,2,    130.1,2,    27.02,2,    35.00,2,     0.00,2,     2.35,2, -999.000,9, -999.000,9,   2215.9,2,   -999.0,9,   7.5867,    25.00,2,  -999.00,9,  -999.00,9,   5.7035
  35LU19950909, AR04g,     4,  1,      4,2,19950910,  5.8748, -51.3805,   20,    597.5,   5.7551,  34.5910,2,  34.5947,2,    131.6,2,    130.1,2,    26.88,2,    34.96,2,     0.00,2,     2.34,2, -999.000,9, -999.000,9,   2219.9,2,   -999.0,9,   7.5867,    25.00,2,  -999.00,9,  -999.00,9,   5.7035
  35LU19950909, AR04g,     4,  1,      2,2,19950910,  5.8748, -51.3805,   20,    698.0,   5.2602,  34.5776,2,  34.5810,2,    141.5,2,    141.0,2,    29.82,2,    34.58,2,     0.00,2,     2.35,2, -999.000,9, -999.000,9,   2216.9,2,   -999.0,9,   7.6016,    25.00,2,  -999.00,9,  -999.00,9,   5.2021
  35LU19950909, AR04g,     4,  1,      1,2,19950910,  5.8748, -51.3805,   20,    787.8,   5.0694,  34.5829,2,  34.5886,2,    143.5,2,    143.3,2,    30.68,2,    34.35,2,     0.00,2,     2.32,2, -999.000,9, -999.000,9,   2228.5,2,   -999.0,9,   7.6297,    25.00,3,  -999.00,9,  -999.00,9,   5.0044
  35LU19950909, AR04g,     5,  1,     18,2,19950910,  5.9067, -51.3527,   20,      0.7,  27.9228,  34.8252,2,  35.1275,2,    199.5,2,    200.5,2,     2.74,2,     0.14,2,     0.00,2,     0.03,2,    1.819,2,    0.930,2,   -999.0,9,   -999.0,9,-999.0000,  -999.00,9,     0.07,2,     0.03,2,  27.9226
  35LU19950909, AR04g,     5,  1,     17,2,19950910,  5.9067, -51.3527,   20,     24.9,  27.4552,  36.0466,2,  35.9907,2,    199.8,2,    199.7,2,     1.16,2,     0.14,2,     0.00,2,     0.04,2,    1.746,2,    0.917,2,   -999.0,9,   -999.0,9,-999.0000,  -999.00,9,  -999.00,9,  -999.00,9,  27.4494
  35LU19950909, AR04g,     5,  1,     16,2,19950910,  5.9067, -51.3527,   20,     49.9,  26.4944,  36.2737,2,  36.2645,2,    201.0,2,    199.1,2,     0.53,2,     0.14,2,     0.09,2,     0.07,2,    1.777,2,    0.936,2,   -999.0,9,   -999.0,9,-999.0000,  -999.00,9,  -999.00,9,  -999.00,9,  26.4831
  35LU19950909, AR04g,     5,  1,     15,2,19950910,  5.9067, -51.3527,   20,     73.8,  26.3395,  36.2956,2,  36.2946,2,    197.5,2,    196.2,2,     0.55,2,     0.17,2,     0.25,2,     0.08,2,    1.712,2,    0.895,2,   -999.0,9,   -999.0,9,-999.0000,  -999.00,9,  -999.00,9,  -999.00,9,  26.3228
  35LU19950909, AR04g,     5,  1,     14,2,19950910,  5.9067, -51.3527,   20,    123.2,  25.4671,  36.2994,2,  36.3025,2,    191.9,2,    191.3,2,     0.83,2,     1.18,2,     0.19,2,     0.15,2,    1.775,2,    0.939,2,   -999.0,9,   -999.0,9,-999.0000,  -999.00,9,  -999.00,9,  -999.00,9,  25.4399
  35LU19950909, AR04g,     5,  1,     13,2,19950910,  5.9067, -51.3527,   20,    172.8,  15.8945,  35.8145,2,  35.8215,2,    146.4,2,    137.4,2,     6.44,2,    14.87,2,     0.02,2,     0.99,2,    1.543,2,    0.725,2,   -999.0,9,   -999.0,9,-999.0000,  -999.00,9,  -999.00,9,  -999.00,9,  15.8671
  35LU19950909, AR04g,     5,  1,     12,2,19950910,  5.9067, -51.3527,   20,    247.6,  13.5438,  35.5254,2,  35.4999,2,    124.5,2,    124.5,2,     9.46,2,    20.07,2,     0.00,2,     1.32,2,    1.240,2,    0.554,2,   -999.0,9,   -999.0,9,-999.0000,  -999.00,9,  -999.00,9,  -999.00,9,  13.5086
  35LU19950909, AR04g,     5,  1,     11,2,19950910,  5.9067, -51.3527,   20,    297.5,  11.6592,  35.2099,2,  35.1996,2,    127.2,2,    129.8,2,    11.57,2,    22.68,2,     0.00,2,     1.52,2,    1.061,2,    0.464,2,   -999.0,9,   -999.0,9,-999.0000,  -999.00,9,  -999.00,9,  -999.00,9,  11.6209
  35LU19950909, AR04g,     5,  1,     10,2,19950910,  5.9067, -51.3527,   20,    398.1,   6.5139,  34.5647,2,  34.5969,0,    149.8,2,    149.7,2,    21.36,2,    30.70,2,     0.00,2,     2.08,2,    0.498,2,    0.214,2,   -999.0,9,   -999.0,9,-999.0000,  -999.00,9,  -999.00,9,  -999.00,9,   6.4778
  35LU19950909, AR04g,     5,  1,      9,2,19950910,  5.9067, -51.3527,   20,    497.3,   5.9116,  34.5432,2,  34.5482,2,    146.3,2,    146.4,2,    25.11,2,    32.74,2,     0.00,2,     2.22,2,    0.267,2,    0.103,2,   -999.0,9,   -999.0,9,-999.0000,  -999.00,9,  -999.00,9,  -999.00,9,   5.8685
  35LU19950909, AR04g,     5,  1,      8,2,19950910,  5.9067, -51.3527,   20,    597.0,   5.8588,  34.5880,2,  34.5901,2,    129.4,2,    129.4,2,    26.61,2,    34.53,2,     0.00,2,     2.33,2,    0.082,2,    0.033,2,   -999.0,9,   -999.0,9,-999.0000,  -999.00,9,  -999.00,9,  -999.00,9,   5.8068
  35LU19950909, AR04g,     5,  1,      7,2,19950910,  5.9067, -51.3527,   20,    796.3,   4.9237,  34.5636,2,  34.5658,2,    149.3,2,    146.9,2,    31.07,2,    34.12,2,     0.00,2,     2.34,2,    0.093,2,    0.032,2,   -999.0,9,   -999.0,9,-999.0000,  -999.00,9,  -999.00,9,  -999.00,9,   4.8589
  35LU19950909, AR04g,     5,  1,      6,2,19950910,  5.9067, -51.3527,   20,    896.1,   4.8913,  34.6259,2,  34.6383,2,    148.6,2,    146.8,2,    30.64,2,    33.23,2,     0.00,2,     2.28,2,    0.007,2,    0.004,2,   -999.0,9,   -999.0,9,-999.0000,  -999.00,9,  -999.00,9,  -999.00,9,   4.8179
  35LU19950909, AR04g,     5,  1,      5,2,19950910,  5.9067, -51.3527,   20,    996.5,   4.8962,  34.7069,2,  34.7159,2,    152.9,2,    153.2,2,    29.24,2,    31.62,2,     0.00,2,     2.19,2,    0.009,2,    0.004,2,   -999.0,9,   -999.0,9,-999.0000,  -999.00,9,  -999.00,9,  -999.00,9,   4.8136
