BOTTLE,20140922CDIACAK
#code : jjward hyd_to_exchange.pl
#original files copied from HTML directory: Aug. 19,2002
#original HYD file: a06hy.txt   Mon Aug 19 12:58:19 2002
#original SUM file: a06su.txt   Mon Aug 19 13:04:08 2002
EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,TRITUM,TRITUM_FLAG_W,HELIUM,HELIUM_FLAG_W,DELHE3,DELHE3_FLAG_W,TCARBN,TCARBN_FLAG_W,PCO2,PCO2_FLAG_W,PH_TOT,PH_TOT_FLAG_W,PH_TMP,CHLA,CHLA_FLAG_W,OXYNIT,OXYNIT_FLAG_W,ARGON,ARGON_FLAG_W,CTDRAW,PHAEO,PHAEO_FLAG_W,THETA,METHAN,METHAN_FLAG_W,AZOTE,AZOTE_FLAG_W
,,,,,,,,,,,,DBAR,DEG C,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,TU,,NMOL/KG,,%,,UMOL/KG,,UATM,,,,DEG C,UG/L,,NMOL/KG,,UMOL/KG,,DBAR,UG/L,,DEG C,NMOL/KG,,UMOL/KG,
 35A3CITHER1_2,   A06,121,1,9,9,2,19930213,2213,5.7942,-51.3215,500,67.9,26.766,36.39,2,36.398,3,205.2,2,201.9,2,1.88,2,0.11,2,0,2,0.08,2,1.763,2,0.937,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,0.21,2,6.8,2,-999,9,74,0.09,2,26.7505,2.14,2,-999,9
 35A3CITHER1_2,   A06,121,1,8,8,2,19930213,2213,5.7942,-51.3215,500,93.3,24.132,36.389,2,36.417,3,197.3,2,188.6,3,2.49,2,2.27,2,0.05,2,0.26,2,1.761,2,0.927,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,8.93,2,-999,9,100,-999,9,24.1122,3.03,2,-999,9
 35A3CITHER1_2,   A06,121,1,7,7,2,19930213,2213,5.7942,-51.3215,500,143.8,13.874,35.504,2,35.471,3,167.2,2,150.6,3,8.4,2,17.34,2,0,2,1.12,2,1.29,2,0.645,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,22.46,2,-999,9,150,-999,9,13.8533,3.94,2,-999,9
 35A3CITHER1_2,   A06,121,1,5,5,2,19930213,2213,5.7942,-51.3215,500,194.1,10.888,35.016,2,35.012,2,153.1,2,154.5,2,10.99,2,21.38,2,0,2,1.43,2,1.065,2,0.532,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,23.85,2,-999,9,201,-999,9,10.8642,2.08,2,-999,9
 35A3CITHER1_2,   A06,121,1,6,6,2,19930213,2213,5.7942,-51.3215,500,194.6,10.886,35.015,2,35.472,3,152.9,2,155.7,2,8.4,2,17.33,2,0,2,1.13,2,1.077,2,0.536,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,24.12,2,-999,9,201,-999,9,10.8622,2.1,2,-999,9
 35A3CITHER1_2,   A06,121,1,4,4,2,19930213,2213,5.7942,-51.3215,500,243.9,10.236,34.936,2,34.932,2,147.8,2,150.5,2,12.24,2,23.36,2,0,2,1.54,2,0.91,2,0.452,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,29.05,2,-999,9,251,-999,9,10.2072,2.02,2,-999,9
 35A3CITHER1_2,   A06,121,1,3,3,2,19930213,2213,5.7942,-51.3215,500,293.8,9.599,34.875,2,34.876,2,144.9,2,143.2,2,13.82,2,25.3,2,0,2,1.65,2,0.762,2,0.386,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,33.58,2,-999,9,301,-999,9,9.5656,3.31,2,-999,9
 35A3CITHER1_2,   A06,121,1,2,2,2,19930213,2213,5.7942,-51.3215,500,393.7,7.924,34.699,2,34.702,2,146.8,2,143.1,2,18.03,2,29.06,2,0,2,1.89,2,0.498,2,0.25,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,37.67,2,-999,9,401,-999,9,7.884,15.61,2,-999,9
 35A3CITHER1_2,   A06,121,1,1,1,2,19930213,2213,5.7942,-51.3215,500,466.1,7.402,34.66,2,34.665,2,-999,9,142,3,19.92,2,30.27,2,0,2,1.98,2,0.408,2,0.206,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,39.23,2,-999,9,474,-999,9,7.3563,8.17,2,-999,9
 35A3CITHER1_2,   A06,122,1,14,14,2,19930214,19,5.8058,-51.3023,816,1,26.736,36.337,2,36.34,2,204.8,2,205.3,2,1.78,2,0.01,2,0,2,0.05,2,1.809,2,0.968,2,0.74,2,-999,9,-999,9,2027.6,2,415.6,2,8.0928,2,25,0.09,2,-999,9,10.32,2,5,0.04,2,26.7358,-999,9,379.6,2
