BOTTLE,20061130WHPSIODBK
#code : jjward hyd_to_exchange.pl 
#original files copied from HTML directory: 20061129
#original HYD file: a23hy.txt   Thu Nov 30 11:26:30 2006
#original SUM file: a23su.txt   Wed Nov 29 16:06:37 2006
EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDRAW,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,THETA,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NO2+NO3,NO2+NO3_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,CFC113,CFC113_FLAG_W,CCL4,CCL4_FLAG_W,TRITUM,TRITUM_FLAG_W,HELIUM,HELIUM_FLAG_W,DELHE3,DELHE3_FLAG_W,NEON,NEON_FLAG_W,TCARBN,TCARBN_FLAG_W,PCO2,PCO2_FLAG_W,REVPRS,HELIER,TRITER,REVTMP,NEONER,DELHER
,,,,,,,,,,,,,DBAR,ITS90,PSS78,,PSS78,,UMOL/KG,,DEG C,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,PMOL/KG,,PMOL/KG,,TU,,NMOL/KG,,PERCNT,,NMOL/KG,,UMOL/KG,,UATM@4C,,DBAR,NMOL/KG,TU,ITS90,NMOL/KG,PERCNT
      74JC10_1,   A23,     1,  1,    112,     12,2,19950323,2018,-55.5140, -58.6115, 4219,   1259,   1246.2,   2.4651,  34.5352,2,  34.5368,2,    176.7,3,  2.3832,    169.9,2,    75.72,2,    34.00,2,     2.47,2, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,-999.000,9,   -999.0,9,   -999.0,9,  -999.0,-999.0000,-999.000,-999.000,-999.000,-999.000
      74JC10_1,   A23,     1,  1,    111,     11,2,19950323,2018,-55.5140, -58.6115, 4219,   1510,   1497.1,   2.3185,  34.6074,2,  34.6082,2,    171.1,3,  2.2187,    164.6,2,    85.88,2,    34.36,2,     2.46,2, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,-999.000,9,   -999.0,9,   -999.0,9,  -999.0,-999.0000,-999.000,-999.000,-999.000,-999.000
      74JC10_1,   A23,     1,  1,    110,     10,2,19950323,2018,-55.5140, -58.6115, 4219,   1753,   1739.6,   2.1991,  34.6515,2,  34.6512,2,    171.9,3,  2.0813,    167.1,2,    90.09,2,    33.25,2,     2.39,2, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,-999.000,9,   -999.0,9,   -999.0,9,  -999.0,-999.0000,-999.000,-999.000,-999.000,-999.000
      74JC10_1,   A23,     1,  1,    108,      8,2,19950323,2018,-55.5140, -58.6115, 4219,   2011,   1998.5,   2.0362,  34.6866,2,  34.6865,2,    174.5,3,  1.8991,    168.4,2,    96.95,2,    32.90,2,     2.37,2, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,-999.000,9,   -999.0,9,   -999.0,9,  -999.0,-999.0000,-999.000,-999.000,-999.000,-999.000
      74JC10_1,   A23,     1,  1,    109,      9,2,19950323,2018,-55.5140, -58.6115, 4219,   2012,   1998.9,   2.0362,  34.6866,2,  34.6867,2,    174.5,3,  1.8991,    168.7,2,    99.76,3,    33.69,2,     2.40,2, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,-999.000,9,   -999.0,9,   -999.0,9,  -999.0,-999.0000,-999.000,-999.000,-999.000,-999.000
      74JC10_1,   A23,     1,  1,    107,      7,2,19950323,2018,-55.5140, -58.6115, 4219,   2511,   2499.1,   1.6977,  34.7179,2,  34.7166,2,    184.2,3,  1.5229,    181.3,2,   104.93,2,    32.19,2,     2.32,2, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,-999.000,9,   -999.0,9,   -999.0,9,  -999.0,-999.0000,-999.000,   1.697,-999.000,-999.000
      74JC10_1,   A23,     1,  1,    106,      6,2,19950323,2018,-55.5140, -58.6115, 4219,   3011,   3000.4,   1.4296,  34.7217,2,  34.7215,2,    194.2,3,  1.2141,    188.9,2,   109.43,2,    32.05,2,     2.30,2, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,-999.000,9,   -999.0,9,   -999.0,9,  -999.0,-999.0000,-999.000,-999.000,-999.000,-999.000
      74JC10_1,   A23,     1,  1,    104,      4,2,19950323,2018,-55.5140, -58.6115, 4219,   3513,   3503.0,   1.2054,  34.7187,2,  34.7186,2,    201.1,3,  0.9462,    195.5,2,   116.94,2,    31.99,2,     2.29,2, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,-999.000,9,   -999.0,9,   -999.0,9,  3512.0,-999.0000,-999.000,   1.199,-999.000,-999.000
      74JC10_1,   A23,     1,  1,    105,      5,2,19950323,2018,-55.5140, -58.6115, 4219,   3513,   3503.0,   1.2054,  34.7187,2,  34.7180,2,    201.1,3,  0.9462,    195.5,2,   114.85,2,    31.98,2,     2.29,2, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,-999.000,9,   -999.0,9,   -999.0,9,  -999.0,-999.0000,-999.000,-999.000,-999.000,-999.000
      74JC10_1,   A23,     1,  1,    103,      3,2,19950323,2018,-55.5140, -58.6115, 4219,   4012,   4003.1,   1.0542,  34.7140,2,  34.7130,2,    206.0,3,  0.7474,    199.3,2,   120.08,2,    31.94,2,     2.29,2, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,-999.000,9,   -999.0,9,   -999.0,9,  -999.0,-999.0000,-999.000,-999.000,-999.000,-999.000
      74JC10_1,   A23,     1,  1,    101,      1,2,19950323,2018,-55.5140, -58.6115, 4219,   4278,   4269.9,   0.4544,  34.6825,2,  34.6829,2,    223.1,3,  0.1370,    216.2,2,   122.02,2,    31.37,2,     2.25,2, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,-999.000,9,   -999.0,9,   -999.0,9,  4256.0,-999.0000,-999.000,   0.447,-999.000,-999.000
      74JC10_1,   A23,     1,  1,    102,      2,2,19950323,2018,-55.5140, -58.6115, 4219,   4279,   4270.4,   0.4571,  34.6826,2,  34.6812,2,    223.0,3,  0.1396,    215.4,2,   123.13,2,    32.42,2,     2.31,2, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,-999.000,9,   -999.0,9,   -999.0,9,  -999.0,-999.0000,-999.000,-999.000,-999.000,-999.000
      74JC10_1,   A23,     2,  1,    203,      3,2,19950328,1005,-65.3485, -25.0135, 4954,    972,    966.7,   0.1809,  34.6766,2,  34.6755,2,    227.2,3,  0.1370,    209.0,2,   126.14,2,    32.17,2,     2.32,2, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   1.8630,2,     7.67,2,   8.179,2,   -999.0,9,   -999.0,9,  -999.0,  0.0070,-999.000,-999.000,   0.025,   0.300
      74JC10_1,   A23,     2,  1,    202,      2,2,19950328,1005,-65.3485, -25.0135, 4954,    973,    967.3,   0.1810,  34.6767,2,  34.6778,2,    227.2,3,  0.1371,    205.9,2,   125.50,2,    32.27,2,     2.30,2, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   1.8640,2,     7.74,2,   8.162,2,   -999.0,9,   -999.0,9,  -999.0,  0.0070,-999.000,-999.000,   0.025,   0.300
      74JC10_1,   A23,     2,  1,    201,      1,2,19950328,1005,-65.3485, -25.0135, 4954,    973,    967.6,   0.1809,  34.6773,2,  34.6784,2,    227.2,3,  0.1370,    180.1,2,   125.36,2,    31.95,2,     2.28,2, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   1.8650,2,     8.22,2,   8.174,2,   -999.0,9,   -999.0,9,   959.0,  0.0070,-999.000,   0.174,   0.025,   0.300
      74JC10_1,   A23,     2,  1,    208,      8,2,19950328,1005,-65.3485, -25.0135, 4954,    973,    967.7,   0.1799,  34.6771,2,  34.6774,2,    227.2,3,  0.1360,    204.4,2,   125.80,2,    32.49,2,     2.34,2, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,-999.000,9,   -999.0,9,   -999.0,9,  -999.0,-999.0000,-999.000,-999.000,-999.000,-999.000
      74JC10_1,   A23,     2,  1,    206,      6,2,19950328,1005,-65.3485, -25.0135, 4954,    973,    967.8,   0.1805,  34.6765,2,  34.6774,2,    227.2,3,  0.1366,    205.6,2,   125.75,2,    32.33,2,     2.31,2, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,-999.000,9,   -999.0,9,   -999.0,9,  -999.0,-999.0000,-999.000,-999.000,-999.000,-999.000
      74JC10_1,   A23,     2,  1,    211,     11,2,19950328,1005,-65.3485, -25.0135, 4954,    973,    967.8,   0.1801,  34.6769,2,  34.6776,2,    227.2,3,  0.1362,    205.5,2,   124.92,2,    32.25,2,     2.33,2, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,-999.000,9,   -999.0,9,   -999.0,9,  -999.0,-999.0000,-999.000,-999.000,-999.000,-999.000
      74JC10_1,   A23,     2,  1,    207,      7,2,19950328,1005,-65.3485, -25.0135, 4954,    973,    968.1,   0.1805,  34.6764,2,  34.6770,2,    226.3,3,  0.1365,    204.6,2,   126.09,2,    32.35,2,     2.37,2, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,-999.000,9,   -999.0,9,   -999.0,9,  -999.0,-999.0000,-999.000,   0.179,-999.000,-999.000
      74JC10_1,   A23,     2,  1,    209,      9,2,19950328,1005,-65.3485, -25.0135, 4954,    973,    968.1,   0.1800,  34.6768,2,  34.6772,2,    226.3,3,  0.1360,    204.8,2,   125.80,2,    32.28,2,     2.39,2, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,-999.000,9,   -999.0,9,   -999.0,9,  -999.0,-999.0000,-999.000,-999.000,-999.000,-999.000
      74JC10_1,   A23,     2,  1,    212,     12,2,19950328,1005,-65.3485, -25.0135, 4954,    974,    968.2,   0.1803,  34.6770,2,  34.6756,2,    226.3,3,  0.1363,    205.0,2,   125.55,2,    32.22,2,     2.32,2, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,-999.000,9,   -999.0,9,   -999.0,9,  -999.0,-999.0000,-999.000,-999.000,-999.000,-999.000
      74JC10_1,   A23,     2,  1,    222,     25,2,19950328,1005,-65.3485, -25.0135, 4954,    974,    968.4,   0.1809,  34.6773,2,  34.6758,2,    226.3,3,  0.1369,    205.7,2,   132.76,2,    32.25,2,     2.31,2, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,-999.000,9,   -999.0,9,   -999.0,9,  -999.0,-999.0000,-999.000,-999.000,-999.000,-999.000
      74JC10_1,   A23,     2,  1,    205,      5,2,19950328,1005,-65.3485, -25.0135, 4954,    974,    968.5,   0.1798,  34.6769,2,  34.6778,2,    226.3,3,  0.1358,    208.2,2,   125.75,2,    32.35,2,     2.31,2, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   1.8640,2,     4.32,2,   8.174,2,   -999.0,9,   -999.0,9,  -999.0,  0.0070,-999.000,-999.000,   0.025,   0.300
      74JC10_1,   A23,     2,  1,    214,     14,2,19950328,1005,-65.3485, -25.0135, 4954,    974,    968.5,   0.1806,  34.6768,2,  34.6770,2,    226.3,3,  0.1366,    205.4,2,   124.77,2,    32.32,2,     2.33,2, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,-999.000,9,   -999.0,9,   -999.0,9,  -999.0,-999.0000,-999.000,-999.000,-999.000,-999.000
      74JC10_1,   A23,     2,  1,    220,     20,2,19950328,1005,-65.3485, -25.0135, 4954,    974,    968.6,   0.1807,  34.6774,2,  34.6768,2,    226.3,3,  0.1367,    205.9,2,   125.31,2,    32.19,2,     2.31,2, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,-999.000,9,   -999.0,9,   -999.0,9,  -999.0,-999.0000,-999.000,-999.000,-999.000,-999.000
      74JC10_1,   A23,     2,  1,    210,     10,2,19950328,1005,-65.3485, -25.0135, 4954,    974,    968.7,   0.1799,  34.6767,2,  34.6776,2,    226.3,3,  0.1359,    204.2,2,   125.50,2,    32.28,2,     2.35,2, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,-999.000,9,   -999.0,9,   -999.0,9,  -999.0,-999.0000,-999.000,-999.000,-999.000,-999.000
